iter	MultiClass
0	1.917331048
1	1.821046721
2	1.751337613
3	1.697988414
4	1.656316869
5	1.619637704
6	1.590827281
7	1.563927753
8	1.541201363
9	1.522374951
10	1.505599289
11	1.48968285
12	1.474399817
13	1.46425566
14	1.451286158
15	1.440012832
16	1.429422268
17	1.419001348
18	1.409034506
19	1.401465168
20	1.394406111
21	1.388038865
22	1.383017063
23	1.378599354
24	1.37293287
25	1.367970058
26	1.363149752
27	1.358115212
28	1.353438007
29	1.349977269
30	1.345527675
31	1.342067662
32	1.338954783
33	1.336225452
34	1.332461887
35	1.329149335
36	1.326511801
37	1.324888706
38	1.322458163
39	1.319816172
40	1.31668521
41	1.3140778
42	1.310654092
43	1.30718752
44	1.304357767
45	1.302050619
46	1.300404408
47	1.298271754
48	1.296998357
49	1.295046112
50	1.293949325
51	1.29261162
52	1.289992548
53	1.288340031
54	1.285847089
55	1.283751747
56	1.281576028
57	1.279597568
58	1.277627773
59	1.275791038
60	1.274417386
61	1.273066133
62	1.270287021
63	1.269241515
64	1.267578503
65	1.265982117
66	1.264182135
67	1.262902017
68	1.261710786
69	1.259537271
70	1.258482895
71	1.256686126
72	1.254839427
73	1.253351239
74	1.252135022
75	1.250651795
76	1.249319026
77	1.248626313
78	1.247379351
79	1.245431573
80	1.243328146
81	1.242063662
82	1.23991814
83	1.23900489
84	1.237258656
85	1.235707463
86	1.234270701
87	1.232846348
88	1.231129428
89	1.229988979
90	1.229213535
91	1.227840847
92	1.226771501
93	1.225430089
94	1.223979446
95	1.222684015
96	1.221525425
97	1.220301572
98	1.219166526
99	1.217755295
100	1.216470489
101	1.214626169
102	1.213398149
103	1.212604612
104	1.211640796
105	1.210543208
106	1.209042494
107	1.207620846
108	1.206381085
109	1.205044304
110	1.203321269
111	1.202322707
112	1.201096739
113	1.199728143
114	1.198405145
115	1.197315162
116	1.196332985
117	1.195593322
118	1.194676576
119	1.19340718
120	1.192255835
121	1.191396434
122	1.190496155
123	1.189800501
124	1.188488189
125	1.18756408
126	1.186277207
127	1.184805332
128	1.183252845
129	1.182496293
130	1.181015408
131	1.179497698
132	1.178106968
133	1.176843519
134	1.175981816
135	1.174671534
136	1.173829089
137	1.173373337
138	1.171710682
139	1.171145367
140	1.169783323
141	1.16868106
142	1.167670441
143	1.166500711
144	1.165015875
145	1.164274959
146	1.163359917
147	1.162452099
148	1.161298788
149	1.159900945
150	1.158442602
151	1.157768666
152	1.156794075
153	1.155366438
154	1.154064038
155	1.15321441
156	1.152490073
157	1.151702286
158	1.150551255
159	1.149659134
160	1.148655363
161	1.147286637
162	1.145995351
163	1.145020917
164	1.143606409
165	1.141963834
166	1.141166764
167	1.140475825
168	1.139824737
169	1.138330804
170	1.137557442
171	1.137095669
172	1.136330284
173	1.13523834
174	1.133911668
175	1.133420635
176	1.132741667
177	1.132113954
178	1.131395209
179	1.130325111
180	1.129203219
181	1.128127595
182	1.126506931
183	1.125696084
184	1.124666716
185	1.123818269
186	1.122773962
187	1.121794416
188	1.120744345
189	1.12019728
190	1.118870067
191	1.117919318
192	1.117392419
193	1.11689461
194	1.116238329
195	1.115470197
196	1.114617428
197	1.113818691
198	1.113098147
199	1.112204573
200	1.111983482
201	1.111134873
202	1.110305463
203	1.109506659
204	1.108744948
205	1.107848404
206	1.107056064
207	1.106585444
208	1.105719724
209	1.104348187
210	1.103754862
211	1.102888373
212	1.101810645
213	1.100962116
214	1.100099722
215	1.099394433
216	1.09864332
217	1.097662307
218	1.096979501
219	1.096098928
220	1.095495897
221	1.094507024
222	1.093791079
223	1.093147644
224	1.09239673
225	1.091578919
226	1.090691495
227	1.090181677
228	1.08938769
229	1.088668196
230	1.087654654
231	1.086847818
232	1.086059093
233	1.085221533
234	1.084373339
235	1.083475557
236	1.082484068
237	1.082191683
238	1.081606398
239	1.080960066
240	1.080136243
241	1.079188592
242	1.078706613
243	1.077754564
244	1.077133128
245	1.076374864
246	1.075744211
247	1.075112473
248	1.074380544
249	1.07359855
250	1.072723804
251	1.071669702
252	1.070884655
253	1.070421299
254	1.069861515
255	1.0690337
256	1.068015856
257	1.06736416
258	1.066693738
259	1.066179237
260	1.06532321
261	1.064754632
262	1.064334684
263	1.063640713
264	1.062406486
265	1.061744331
266	1.061058497
267	1.060721531
268	1.059678734
269	1.059311446
270	1.058276466
271	1.058084112
272	1.057523067
273	1.056511027
274	1.056329576
275	1.055656087
276	1.054875177
277	1.054136522
278	1.053591537
279	1.052839473
280	1.052324684
281	1.051799579
282	1.051434938
283	1.050823003
284	1.05000168
285	1.049626374
286	1.048765492
287	1.048120653
288	1.047503293
289	1.047131943
290	1.046375342
291	1.045895914
292	1.045015896
293	1.04430426
294	1.043515736
295	1.043084443
296	1.042416057
297	1.041586123
298	1.040757519
299	1.040338645
300	1.039721324
301	1.038934713
302	1.038399627
303	1.0377584
304	1.037167079
305	1.036809587
306	1.035991397
307	1.035233521
308	1.034559779
309	1.033794479
310	1.033102802
311	1.032358895
312	1.031820306
313	1.031427888
314	1.030800013
315	1.029896616
316	1.029560167
317	1.028906289
318	1.02844999
319	1.027815015
320	1.026987821
321	1.026378057
322	1.025840136
323	1.025505186
324	1.024768564
325	1.024019544
326	1.023291081
327	1.022857153
328	1.022302011
329	1.021413548
330	1.021000093
331	1.020361938
332	1.019247217
333	1.01857777
334	1.018295728
335	1.017876741
336	1.01742625
337	1.016882196
338	1.016011179
339	1.015369328
340	1.014500925
341	1.01391046
342	1.013586793
343	1.01338728
344	1.012478697
345	1.012090258
346	1.011552288
347	1.011060925
348	1.010381122
349	1.009600904
350	1.008858147
351	1.00804315
352	1.007655955
353	1.007242751
354	1.006849887
355	1.006326363
356	1.005587577
357	1.005346696
358	1.004541716
359	1.004032796
360	1.003522451
361	1.003186256
362	1.002638482
363	1.002159735
364	1.001368112
365	1.000732354
366	1.000120216
367	0.9993610049
368	0.9986068312
369	0.9981952696
370	0.9976245346
371	0.9968677552
372	0.996118831
373	0.9955296954
374	0.9947901468
375	0.9943633073
376	0.9936727078
377	0.9929653708
378	0.9926981266
379	0.992059208
380	0.9913710234
381	0.9908759272
382	0.9898029867
383	0.988897795
384	0.9883513386
385	0.9878621286
386	0.9872971474
387	0.9867440034
388	0.9862262885
389	0.9857763661
390	0.9851363182
391	0.9847445616
392	0.9841146147
393	0.9834700144
394	0.9829048361
395	0.9825144998
396	0.9820479274
397	0.9810620042
398	0.9803241567
399	0.9799544594
400	0.9795804869
401	0.9787970252
402	0.9782618658
403	0.9772698194
404	0.9767741403
405	0.9763438446
406	0.9756905166
407	0.9750518005
408	0.9746205368
409	0.9737058447
410	0.9732682793
411	0.9729625625
412	0.9725437035
413	0.9718610107
414	0.9714820314
415	0.9710499729
416	0.9704422613
417	0.9696142027
418	0.9690179029
419	0.9688946683
420	0.9686107276
421	0.9683222537
422	0.9676710649
423	0.9671672249
424	0.966494596
425	0.9658146658
426	0.9651948226
427	0.9648832778
428	0.9646949035
429	0.9640999722
430	0.9635421235
431	0.9630393617
432	0.9623333276
433	0.9616782222
434	0.9611340608
435	0.9605785727
436	0.9601756544
437	0.9595004068
438	0.9590945355
439	0.9587305477
440	0.9583237764
441	0.957828125
442	0.9572563072
443	0.9569128298
444	0.9563977922
445	0.9557954489
446	0.9551463562
447	0.9547447249
448	0.9542221571
449	0.9536855699
450	0.9531755465
451	0.9526034115
452	0.9521547142
453	0.9517229992
454	0.951199125
455	0.9508333154
456	0.9503274768
457	0.9496547285
458	0.9493190732
459	0.9486112007
460	0.9483033654
461	0.947748787
462	0.9472930091
463	0.9466329178
464	0.9461414863
465	0.9453698794
466	0.9449405836
467	0.9444079309
468	0.9437339877
469	0.9435943835
470	0.942773627
471	0.9424328617
472	0.9420565762
473	0.9414288299
474	0.9406605896
475	0.9400444144
476	0.9394571295
477	0.9387402014
478	0.9382640544
479	0.9376771755
480	0.9373792101
481	0.9368354179
482	0.9363125998
