iter	Passed	Remaining
0	171	171610
1	199	99556
2	219	72821
3	249	62057
4	271	54041
5	305	50682
6	334	47464
7	364	45190
8	455	50126
9	505	50038
10	564	50750
11	626	51547
12	671	50956
13	705	49675
14	746	48989
15	773	47593
16	815	47128
17	847	46210
18	886	45767
19	925	45339
20	960	44767
21	1000	44497
22	1033	43891
23	1065	43318
24	1090	42527
25	1122	42064
26	1147	41337
27	1178	40923
28	1214	40650
29	1248	40380
30	1281	40051
31	1312	39712
32	1342	39338
33	1377	39132
34	1410	38877
35	1439	38541
36	1467	38186
37	1505	38105
38	1536	37866
39	1569	37660
40	1605	37564
41	1638	37367
42	1675	37300
43	1710	37156
44	1736	36860
45	1763	36571
46	1790	36312
47	1817	36055
48	1840	35715
49	1867	35484
50	1911	35560
51	1944	35445
52	1971	35233
53	1997	34990
54	2025	34796
55	2048	34532
56	2075	34330
57	2103	34158
58	2138	34110
59	2168	33966
60	2197	33825
61	2224	33660
62	2251	33487
63	2284	33406
64	2309	33216
65	2337	33073
66	2420	33704
67	2532	34706
68	2566	34633
69	2600	34554
70	2636	34501
71	2686	34629
72	2724	34600
73	2752	34445
74	2776	34239
75	2801	34060
76	2830	33923
77	2858	33786
78	2888	33678
79	2914	33521
80	2943	33397
81	2968	33228
82	2992	33064
83	3015	32885
84	3047	32810
85	3076	32701
86	3105	32589
87	3144	32584
88	3172	32470
89	3208	32444
90	3237	32337
91	3265	32228
92	3296	32149
93	3327	32075
94	3358	31992
95	3392	31941
96	3425	31889
97	3466	31906
98	3489	31762
99	3517	31657
100	3547	31579
101	3576	31486
102	3608	31429
103	3641	31371
104	3672	31303
105	3702	31223
106	3730	31130
107	3758	31041
108	3786	30949
109	3815	30867
110	3846	30803
111	3881	30777
112	3922	30788
113	3961	30791
114	4007	30837
115	4035	30756
116	4067	30696
117	4101	30654
118	4128	30567
119	4159	30501
120	4183	30391
121	4209	30292
122	4238	30219
123	4278	30222
124	4315	30206
125	4349	30173
126	4385	30145
127	4417	30091
128	4454	30074
129	4496	30094
130	4534	30079
131	4569	30048
132	4599	29984
133	4627	29904
134	4649	29791
135	4678	29724
136	4705	29640
137	4738	29600
138	4769	29540
139	4798	29474
140	4830	29429
141	4862	29378
142	4898	29356
143	4929	29300
144	4954	29213
145	4978	29121
146	5005	29043
147	5031	28967
148	5059	28896
149	5086	28826
150	5117	28773
151	5149	28729
152	5187	28716
153	5220	28680
154	5254	28643
155	5290	28621
156	5321	28572
157	5356	28543
158	5388	28498
159	5422	28468
160	5462	28468
161	5502	28465
162	5539	28444
163	5577	28430
164	5618	28431
165	5658	28429
166	5687	28369
167	5720	28332
168	5748	28266
169	5777	28208
170	5804	28141
171	5850	28166
172	5879	28107
173	5914	28074
174	5950	28053
175	5993	28061
176	6031	28042
177	6065	28012
178	6096	27964
179	6120	27880
180	6145	27808
181	6168	27725
182	6191	27642
183	6217	27574
184	6245	27513
185	6270	27441
186	6299	27385
187	6324	27314
188	6349	27244
189	6376	27182
190	6407	27140
191	6434	27076
192	6462	27020
193	6490	26965
194	6518	26910
195	6542	26836
196	6566	26765
197	6595	26715
198	6622	26656
199	6649	26599
200	6676	26538
201	6712	26517
202	6746	26486
203	6778	26447
204	6806	26394
205	6834	26343
206	6861	26287
207	6887	26225
208	6917	26180
209	6945	26127
210	6972	26072
211	7002	26026
212	7030	25975
213	7060	25933
214	7088	25881
215	7112	25817
216	7139	25760
217	7170	25720
218	7208	25708
219	7237	25658
220	7265	25610
221	7294	25563
222	7319	25504
223	7345	25448
224	7376	25409
225	7415	25396
226	7452	25378
227	7485	25345
228	7516	25305
229	7550	25278
230	7583	25244
231	7616	25212
232	7646	25169
233	7676	25129
234	7704	25080
235	7737	25048
236	7768	25010
237	7796	24960
238	7826	24920
239	7855	24877
240	7882	24825
241	7907	24767
242	7933	24714
243	7961	24668
244	7988	24618
245	8014	24565
246	8044	24525
247	8076	24490
248	8107	24453
249	8137	24411
250	8168	24374
251	8195	24325
252	8224	24282
253	8254	24242
254	8281	24195
255	8310	24151
256	8337	24103
257	8367	24064
258	8394	24017
259	8424	23978
260	8449	23923
261	8469	23856
262	8492	23799
263	8518	23748
264	8547	23706
265	8578	23670
