time,dangjin_floating,dangjin_warehouse,dangjin,ulsan
2015-01-01 01:00:00,,0,0,0
2015-01-01 02:00:00,,0,0,0
2015-01-01 03:00:00,,0,0,0
2015-01-01 04:00:00,,0,0,0
2015-01-01 05:00:00,,0,0,0
2015-01-01 06:00:00,,0,0,0
2015-01-01 07:00:00,,0,0,0
2015-01-01 08:00:00,,0,0,0
2015-01-01 09:00:00,,12,8,0
2015-01-01 10:00:00,,150,227,0
2015-01-01 11:00:00,,195,263,0
2015-01-01 12:00:00,,270,356,0
2015-01-01 13:00:00,,254,333,0
2015-01-01 14:00:00,,184,225,0
2015-01-01 15:00:00,,131,199,0
2015-01-01 16:00:00,,183,218,0
2015-01-01 17:00:00,,53,44,0
2015-01-01 18:00:00,,0,0,0
2015-01-01 19:00:00,,0,0,0
2015-01-01 20:00:00,,0,0,0
2015-01-01 21:00:00,,0,0,0
2015-01-01 22:00:00,,0,0,0
2015-01-01 23:00:00,,0,0,0
2015-01-02 00:00:00,,0,0,0
2015-01-02 01:00:00,,0,0,
2015-01-02 02:00:00,,0,0,
2015-01-02 03:00:00,,0,0,
2015-01-02 04:00:00,,0,0,
2015-01-02 05:00:00,,0,0,
2015-01-02 06:00:00,,0,0,
2015-01-02 07:00:00,,0,0,
2015-01-02 08:00:00,,0,0,
2015-01-02 09:00:00,,9,2,
2015-01-02 10:00:00,,60,59,
2015-01-02 11:00:00,,173,208,
2015-01-02 12:00:00,,326,378,
2015-01-02 13:00:00,,419,513,
2015-01-02 14:00:00,,478,560,
2015-01-02 15:00:00,,420,513,
2015-01-02 16:00:00,,257,309,
2015-01-02 17:00:00,,103,58,
2015-01-02 18:00:00,,3,0,
2015-01-02 19:00:00,,0,0,
2015-01-02 20:00:00,,0,0,
2015-01-02 21:00:00,,0,0,
2015-01-02 22:00:00,,0,0,
2015-01-02 23:00:00,,0,0,
2015-01-03 00:00:00,,0,0,
2015-01-03 01:00:00,,0,0,
2015-01-03 02:00:00,,0,0,
2015-01-03 03:00:00,,0,0,
2015-01-03 04:00:00,,0,0,
2015-01-03 05:00:00,,0,0,
2015-01-03 06:00:00,,0,0,
2015-01-03 07:00:00,,0,0,
2015-01-03 08:00:00,,0,0,
2015-01-03 09:00:00,,17,12,
2015-01-03 10:00:00,,82,99,
2015-01-03 11:00:00,,251,305,
2015-01-03 12:00:00,,394,460,
2015-01-03 13:00:00,,429,497,
2015-01-03 14:00:00,,285,320,
2015-01-03 15:00:00,,202,244,
2015-01-03 16:00:00,,178,220,
2015-01-03 17:00:00,,42,32,
2015-01-03 18:00:00,,1,0,
2015-01-03 19:00:00,,0,0,
2015-01-03 20:00:00,,0,0,
2015-01-03 21:00:00,,0,0,
2015-01-03 22:00:00,,0,0,
2015-01-03 23:00:00,,0,0,
2015-01-04 00:00:00,,0,0,
2015-01-04 01:00:00,,0,0,
2015-01-04 02:00:00,,0,0,
2015-01-04 03:00:00,,0,0,
