month, format: day,hour,forecast,3시간기온,6시간적설,풍향,풍속,강수형태,습도,6시간강수량,하늘상태,일최고기온,일최저기온,강수확률
1, 1,200.0,4.0,-2.4,,321.0,10.7,0.0,45.0,,3.0,-2.1,-5.8,19.0
1, 1,200.0,7.0,-3.0,0.0,322.0,10.5,0.0,50.0,0.0,3.0,-0.2,-6.5,20.0
1, 1,200.0,10.0,-4.7,,321.0,10.6,0.0,60.0,,3.0,2.9,,20.0
1, 1,200.0,13.0,-4.9,0.0,313.0,10.6,0.0,64.0,0.0,3.0,,,20.0
1, 1,200.0,16.0,-5.8,,317.0,9.5,0.0,69.0,,3.0,,,20.0
1, 1,200.0,19.0,-5.7,0.0,327.0,8.5,0.0,74.0,0.0,3.0,,,20.0
1, 1,200.0,22.0,-3.6,,195.0,8.3,3.0,75.0,,3.0,,,58.0
1, 1,200.0,25.0,-2.9,5.0,295.0,6.2,3.0,64.0,5.0,4.0,,,60.0
1, 1,200.0,28.0,-0.2,,348.0,4.1,0.0,49.0,,3.0,,,20.0
1, 1,200.0,31.0,-1.7,0.0,339.0,4.0,0.0,54.0,0.0,2.0,,,10.0
1, 1,200.0,34.0,-3.5,,345.0,3.2,0.0,59.0,,1.0,,,0.0
1, 1,200.0,37.0,-4.3,0.0,350.0,3.1,0.0,69.0,0.0,1.0,,,0.0
1, 1,200.0,40.0,-5.1,,353.0,2.1,0.0,74.0,,1.0,,,0.0
1, 1,200.0,43.0,-6.1,0.0,357.0,1.2,0.0,69.0,0.0,1.0,,,0.0
1, 1,200.0,46.0,-3.0,,135.0,0.9,0.0,53.0,,1.0,,,0.0
1, 1,200.0,49.0,0.1,0.0,176.0,2.0,0.0,49.0,0.0,2.0,,,10.0
1, 1,200.0,52.0,1.9,,226.0,2.0,0.0,50.0,,3.0,,,10.0
1, 1,200.0,55.0,0.6,0.0,219.0,2.0,0.0,55.0,0.0,3.0,,,20.0
1, 1,200.0,58.0,-0.4,,208.0,2.0,0.0,70.0,,3.0,,,20.0
1, 1,200.0,61.0,-1.3,0.0,221.0,1.0,0.0,74.0,0.0,3.0,,,20.0
1, 1,500.0,4.0,-3.0,0.0,322.0,10.5,0.0,50.0,0.0,3.0,-0.2,-5.8,20.0
1, 1,500.0,7.0,-4.7,,321.0,10.6,0.0,60.0,,3.0,2.9,-6.5,20.0
1, 1,500.0,10.0,-4.9,0.0,313.0,10.6,0.0,64.0,0.0,3.0,,,20.0
1, 1,500.0,13.0,-5.8,,317.0,9.5,0.0,69.0,,3.0,,,20.0
1, 1,500.0,16.0,-5.7,0.0,327.0,8.5,0.0,74.0,0.0,3.0,,,20.0
1, 1,500.0,19.0,-3.6,,195.0,8.3,3.0,75.0,,3.0,,,58.0
1, 1,500.0,22.0,-2.9,5.0,295.0,6.2,3.0,64.0,5.0,4.0,,,60.0
1, 1,500.0,25.0,-0.2,,348.0,4.1,0.0,49.0,,3.0,,,20.0
1, 1,500.0,28.0,-1.7,0.0,339.0,4.0,0.0,54.0,0.0,2.0,,,10.0
1, 1,500.0,31.0,-3.5,,345.0,3.2,0.0,59.0,,1.0,,,0.0
1, 1,500.0,34.0,-4.3,0.0,350.0,3.1,0.0,69.0,0.0,1.0,,,0.0
1, 1,500.0,37.0,-5.1,,353.0,2.1,0.0,74.0,,1.0,,,0.0
1, 1,500.0,40.0,-6.1,0.0,357.0,1.2,0.0,69.0,0.0,1.0,,,0.0
1, 1,500.0,43.0,-3.0,,135.0,0.9,0.0,53.0,,1.0,,,0.0
1, 1,500.0,46.0,0.1,0.0,176.0,2.0,0.0,49.0,0.0,2.0,,,10.0
1, 1,500.0,49.0,1.9,,226.0,2.0,0.0,50.0,,3.0,,,10.0
1, 1,500.0,52.0,0.6,0.0,219.0,2.0,0.0,55.0,0.0,3.0,,,20.0
1, 1,500.0,55.0,-0.4,,208.0,2.0,0.0,70.0,,3.0,,,20.0
1, 1,500.0,58.0,-1.3,0.0,221.0,1.0,0.0,74.0,0.0,3.0,,,20.0
1, 1,800.0,4.0,-5.0,,320.0,5.1,0.0,60.0,,3.0,0.0,-6.5,19.0
1, 1,800.0,7.0,-5.9,0.0,316.0,4.3,0.0,62.0,0.0,3.0,2.9,-7.7,19.0
1, 1,800.0,10.0,-5.7,,332.0,4.4,0.0,68.0,,3.0,,,20.0
1, 1,800.0,13.0,-5.6,0.0,357.0,2.2,0.0,84.0,0.0,4.0,,,27.0
1, 1,800.0,16.0,-4.8,,48.0,2.6,3.0,74.0,,4.0,,,58.0
1, 1,800.0,19.0,-1.9,5.0,358.0,2.9,3.0,60.0,5.0,4.0,,,59.0
1, 1,800.0,22.0,-0.9,,330.0,7.3,0.0,46.0,,2.0,,,10.0
1, 1,800.0,25.0,-2.6,0.0,330.0,7.9,0.0,57.0,0.0,1.0,,,0.0
1, 1,800.0,28.0,-3.6,,340.0,4.4,0.0,64.0,,1.0,,,0.0
1, 1,800.0,31.0,-5.4,0.0,341.0,4.3,0.0,68.0,0.0,1.0,,,0.0
1, 1,800.0,34.0,-6.0,,337.0,2.4,0.0,77.0,,1.0,,,0.0
1, 1,800.0,37.0,-6.7,0.0,340.0,1.6,0.0,88.0,0.0,2.0,,,11.0
1, 1,800.0,40.0,-4.2,,356.0,1.2,0.0,76.0,,3.0,,,20.0
1, 1,800.0,43.0,-0.7,0.0,143.0,1.9,0.0,55.0,0.0,3.0,,,20.0
1, 1,800.0,46.0,1.9,,176.0,2.1,0.0,50.0,,3.0,,,20.0
1, 1,800.0,49.0,-0.1,0.0,176.0,2.6,0.0,69.0,0.0,3.0,,,20.0
1, 1,800.0,52.0,-1.2,,169.0,1.8,0.0,72.0,,3.0,,,20.0
1, 1,800.0,55.0,-2.1,0.0,164.0,1.8,0.0,81.0,0.0,3.0,,,20.0
1, 1,1100.0,4.0,-5.9,0.0,316.0,4.3,0.0,62.0,0.0,3.0,0.0,-6.7,19.0
1, 1,1100.0,7.0,-5.7,,332.0,4.4,0.0,68.0,,3.0,2.9,-7.7,20.0
1, 1,1100.0,10.0,-5.6,0.0,357.0,2.2,0.0,84.0,0.0,4.0,,,27.0
1, 1,1100.0,13.0,-4.8,,48.0,2.6,3.0,74.0,,4.0,,,58.0
