month, format: day,hour,forecast,강수확률,3시간기온,하늘상태,6시간적설,습도,일최저기온,풍향,강수형태,일최고기온,풍속,6시간강수량
1, 1,200.0,4.0,20.0,6.2,,,52.0,2.5,253.0,0.0,7.1,3.1,
1, 1,200.0,7.0,20.0,3.9,,0.0,60.0,2.9,235.0,0.0,10.8,3.0,0.0
1, 1,200.0,10.0,20.0,2.5,,,72.0,,244.0,0.0,7.6,1.1,
1, 1,200.0,13.0,20.0,2.3,,0.0,70.0,,215.0,0.0,,3.3,0.0
1, 1,200.0,16.0,20.0,2.5,,,72.0,,244.0,0.0,,1.2,
1, 1,200.0,19.0,20.0,2.5,,0.0,74.0,,219.0,0.0,,4.0,0.0
1, 1,200.0,22.0,20.0,4.4,,,79.0,,218.0,0.0,,4.0,
1, 1,200.0,25.0,20.0,8.9,,0.0,70.0,,216.0,0.0,,4.0,0.0
1, 1,200.0,28.0,20.0,9.9,,,70.0,,242.0,0.0,,3.1,
1, 1,200.0,31.0,20.0,7.6,,0.0,73.0,,252.0,0.0,,2.0,0.0
1, 1,200.0,34.0,20.0,4.9,,,82.0,,269.0,0.0,,1.3,
1, 1,200.0,37.0,20.0,3.6,,0.0,82.0,,301.0,0.0,,1.4,0.0
1, 1,200.0,40.0,20.0,3.6,,,88.0,,307.0,0.0,,1.4,
1, 1,200.0,43.0,20.0,3.7,,0.0,86.0,,336.0,0.0,,1.3,0.0
1, 1,200.0,46.0,20.0,4.8,,,80.0,,351.0,0.0,,2.0,
1, 1,200.0,49.0,20.0,6.0,,0.0,62.0,,349.0,0.0,,3.0,0.0
1, 1,200.0,52.0,11.0,6.6,,,50.0,,321.0,0.0,,3.0,
1, 1,200.0,55.0,10.0,4.6,,0.0,59.0,,324.0,0.0,,2.0,0.0
1, 1,200.0,58.0,1.0,3.3,,,70.0,,341.0,0.0,,1.0,
1, 1,200.0,61.0,1.0,1.7,,0.0,77.0,,347.0,0.0,,1.0,0.0
1, 1,500.0,4.0,20.0,3.9,,0.0,59.0,2.5,235.0,0.0,10.8,3.0,0.0
1, 1,500.0,7.0,20.0,2.5,,,71.0,2.9,244.0,0.0,7.6,1.1,
1, 1,500.0,10.0,20.0,2.3,,0.0,70.0,,215.0,0.0,,3.3,0.0
1, 1,500.0,13.0,20.0,2.5,,,72.0,,244.0,0.0,,1.2,
1, 1,500.0,16.0,20.0,2.5,,0.0,74.0,,219.0,0.0,,4.0,0.0
1, 1,500.0,19.0,20.0,4.4,,,79.0,,218.0,0.0,,4.0,
1, 1,500.0,22.0,20.0,8.9,,0.0,70.0,,216.0,0.0,,4.0,0.0
1, 1,500.0,25.0,20.0,9.9,,,70.0,,242.0,0.0,,3.1,
1, 1,500.0,28.0,20.0,7.6,,0.0,73.0,,252.0,0.0,,2.0,0.0
1, 1,500.0,31.0,20.0,4.9,,,82.0,,269.0,0.0,,1.3,
1, 1,500.0,34.0,20.0,3.6,,0.0,82.0,,301.0,0.0,,1.4,0.0
1, 1,500.0,37.0,20.0,3.6,,,90.0,,307.0,0.0,,1.4,
1, 1,500.0,40.0,20.0,3.7,,0.0,87.0,,336.0,0.0,,1.3,0.0
1, 1,500.0,43.0,20.0,4.8,,,81.0,,351.0,0.0,,2.0,
