month, format: day,hour,forecast,3시간기온,습도,강수형태,강수확률,일최저기온,일최고기온,하늘상태,풍속,풍향,6시간적설,6시간강수량
1, 1,200.0,4.0,8.1,60.0,0.0,10.0,3.7,8.1,2.0,1.6,260.0,,
1, 1,200.0,7.0,4.9,70.0,0.0,20.0,-1.6,8.9,3.0,2.7,228.0,0.0,0.0
1, 1,200.0,10.0,4.0,77.0,0.0,20.0,,6.9,3.0,0.5,174.0,,
1, 1,200.0,13.0,3.7,81.0,0.0,20.0,,,3.0,0.4,184.0,0.0,0.0
1, 1,200.0,16.0,3.8,81.0,0.0,30.0,,,4.0,0.9,209.0,,
1, 1,200.0,19.0,3.7,85.0,0.0,30.0,,,4.0,1.2,268.0,0.0,0.0
1, 1,200.0,22.0,5.2,86.0,0.0,30.0,,,4.0,1.0,301.0,,
1, 1,200.0,25.0,7.9,66.0,0.0,20.0,,,3.0,3.1,272.0,0.0,0.0
1, 1,200.0,28.0,8.0,65.0,0.0,20.0,,,3.0,3.9,300.0,,
1, 1,200.0,31.0,5.9,69.0,0.0,10.0,,,2.0,1.9,312.0,0.0,0.0
1, 1,200.0,34.0,3.5,72.0,0.0,0.0,,,1.0,3.2,314.0,,
1, 1,200.0,37.0,0.5,77.0,0.0,0.0,,,1.0,3.2,322.0,0.0,0.0
1, 1,200.0,40.0,-0.8,81.0,0.0,0.0,,,1.0,2.0,333.0,,
1, 1,200.0,43.0,-1.5,82.0,0.0,0.0,,,1.0,2.2,337.0,0.0,0.0
1, 1,200.0,46.0,0.2,82.0,0.0,0.0,,,1.0,1.2,351.0,,
1, 1,200.0,49.0,5.7,55.0,0.0,0.0,,,1.0,3.6,307.0,0.0,0.0
1, 1,200.0,52.0,6.7,49.0,0.0,0.0,,,1.0,3.6,283.0,,
1, 1,200.0,55.0,5.0,64.0,0.0,0.0,,,1.0,2.8,227.0,0.0,0.0
1, 1,200.0,58.0,2.9,74.0,0.0,0.0,,,1.0,2.7,203.0,,
1, 1,200.0,61.0,2.4,84.0,0.0,0.0,,,1.0,1.8,236.0,0.0,0.0
1, 1,500.0,4.0,4.9,70.0,0.0,20.0,3.7,8.9,3.0,2.7,228.0,0.0,0.0
1, 1,500.0,7.0,4.0,77.0,0.0,20.0,-1.6,6.9,3.0,0.5,174.0,,
1, 1,500.0,10.0,3.7,81.0,0.0,20.0,,,3.0,0.4,184.0,0.0,0.0
1, 1,500.0,13.0,3.8,81.0,0.0,30.0,,,4.0,0.9,209.0,,
1, 1,500.0,16.0,3.7,85.0,0.0,30.0,,,4.0,1.2,268.0,0.0,0.0
1, 1,500.0,19.0,5.2,86.0,0.0,30.0,,,4.0,1.0,301.0,,
1, 1,500.0,22.0,7.9,66.0,0.0,20.0,,,3.0,3.1,272.0,0.0,0.0
1, 1,500.0,25.0,8.0,65.0,0.0,20.0,,,3.0,3.9,300.0,,
1, 1,500.0,28.0,5.9,69.0,0.0,10.0,,,2.0,1.9,312.0,0.0,0.0
1, 1,500.0,31.0,3.5,72.0,0.0,0.0,,,1.0,3.2,314.0,,
1, 1,500.0,34.0,0.5,77.0,0.0,0.0,,,1.0,3.2,322.0,0.0,0.0
1, 1,500.0,37.0,-0.8,81.0,0.0,0.0,,,1.0,2.0,333.0,,
1, 1,500.0,40.0,-1.5,82.0,0.0,0.0,,,1.0,2.2,337.0,0.0,0.0
1, 1,500.0,43.0,0.2,82.0,0.0,0.0,,,1.0,1.2,351.0,,
1, 1,500.0,46.0,5.7,55.0,0.0,0.0,,,1.0,3.6,307.0,0.0,0.0
1, 1,500.0,49.0,6.7,49.0,0.0,0.0,,,1.0,3.6,283.0,,
1, 1,500.0,52.0,5.0,64.0,0.0,0.0,,,1.0,2.8,227.0,0.0,0.0
1, 1,500.0,55.0,2.9,74.0,0.0,0.0,,,1.0,2.7,203.0,,
1, 1,500.0,58.0,2.4,84.0,0.0,0.0,,,1.0,1.8,236.0,0.0,0.0
1, 1,800.0,4.0,4.1,77.0,0.0,20.0,4.4,8.9,3.0,0.5,176.0,,
1, 1,800.0,7.0,4.1,81.0,0.0,20.0,-1.7,6.7,3.0,0.4,183.0,0.0,0.0
1, 1,800.0,10.0,4.4,81.0,0.0,30.0,,,4.0,0.9,213.0,,
1, 1,800.0,13.0,4.4,85.0,0.0,30.0,,,4.0,1.3,270.0,0.0,0.0
1, 1,800.0,16.0,6.4,86.0,1.0,60.0,,,4.0,1.3,302.0,,
1, 1,800.0,19.0,8.0,65.0,0.0,20.0,,,3.0,3.1,271.0,0.0,5.0
1, 1,800.0,22.0,7.9,66.0,0.0,20.0,,,3.0,4.2,300.0,,
1, 1,800.0,25.0,5.2,70.0,0.0,10.0,,,2.0,1.9,311.0,0.0,0.0
1, 1,800.0,28.0,2.8,72.0,0.0,0.0,,,1.0,2.4,313.0,,
1, 1,800.0,31.0,0.8,77.0,0.0,0.0,,,1.0,2.3,320.0,0.0,0.0
1, 1,800.0,34.0,0.0,80.0,0.0,0.0,,,1.0,2.0,332.0,,
1, 1,800.0,37.0,-0.7,82.0,0.0,0.0,,,1.0,2.2,337.0,0.0,0.0
1, 1,800.0,40.0,0.5,81.0,0.0,0.0,,,1.0,1.2,352.0,,
1, 1,800.0,43.0,5.2,55.0,0.0,0.0,,,1.0,3.9,306.0,0.0,0.0
1, 1,800.0,46.0,5.7,50.0,0.0,0.0,,,1.0,3.7,284.0,,
1, 1,800.0,49.0,3.3,64.0,0.0,0.0,,,1.0,2.7,227.0,0.0,0.0
1, 1,800.0,52.0,2.0,72.0,0.0,0.0,,,1.0,2.6,204.0,,
1, 1,800.0,55.0,1.6,85.0,0.0,0.0,,,1.0,1.8,236.0,0.0,0.0
1, 1,1100.0,4.0,4.1,81.0,0.0,20.0,4.4,8.9,3.0,0.4,183.0,0.0,0.0
1, 1,1100.0,7.0,4.4,81.0,0.0,30.0,-1.7,6.7,4.0,0.9,213.0,,
1, 1,1100.0,10.0,4.4,85.0,0.0,30.0,,,4.0,1.3,270.0,0.0,0.0
1, 1,1100.0,13.0,6.4,86.0,1.0,59.0,,,4.0,1.3,302.0,,
1, 1,1100.0,16.0,8.0,65.0,0.0,20.0,,,3.0,3.1,271.0,0.0,5.0
1, 1,1100.0,19.0,7.9,66.0,0.0,20.0,,,3.0,4.2,300.0,,
1, 1,1100.0,22.0,5.2,70.0,0.0,10.0,,,2.0,1.9,311.0,0.0,0.0
1, 1,1100.0,25.0,2.8,72.0,0.0,0.0,,,1.0,2.4,313.0,,
1, 1,1100.0,28.0,0.8,77.0,0.0,0.0,,,1.0,2.3,320.0,0.0,0.0
1, 1,1100.0,31.0,0.0,80.0,0.0,0.0,,,1.0,2.0,332.0,,
1, 1,1100.0,34.0,-0.7,82.0,0.0,0.0,,,1.0,2.2,337.0,0.0,0.0
1, 1,1100.0,37.0,0.5,81.0,0.0,0.0,,,1.0,1.2,352.0,,
1, 1,1100.0,40.0,5.2,55.0,0.0,0.0,,,1.0,3.9,306.0,0.0,0.0
1, 1,1100.0,43.0,5.7,50.0,0.0,0.0,,,1.0,3.7,284.0,,
1, 1,1100.0,46.0,3.3,64.0,0.0,0.0,,,1.0,2.7,227.0,0.0,0.0
1, 1,1100.0,49.0,2.0,72.0,0.0,0.0,,,1.0,2.6,204.0,,
1, 1,1100.0,52.0,1.6,85.0,0.0,0.0,,,1.0,1.8,236.0,0.0,0.0
1, 1,1400.0,4.0,4.5,81.0,0.0,30.0,3.7,8.9,4.0,0.9,213.0,,
1, 1,1400.0,7.0,4.4,85.0,0.0,30.0,-1.7,6.7,4.0,1.3,270.0,0.0,0.0
1, 1,1400.0,10.0,6.4,86.0,1.0,59.0,,,4.0,1.3,302.0,,
1, 1,1400.0,13.0,8.0,65.0,0.0,20.0,,,3.0,3.1,271.0,0.0,5.0
1, 1,1400.0,16.0,7.9,66.0,0.0,20.0,,,3.0,4.2,300.0,,
1, 1,1400.0,19.0,5.2,70.0,0.0,10.0,,,2.0,1.9,311.0,0.0,0.0
1, 1,1400.0,22.0,2.8,72.0,0.0,0.0,,,1.0,2.4,313.0,,
1, 1,1400.0,25.0,0.8,77.0,0.0,0.0,,,1.0,2.3,320.0,0.0,0.0
1, 1,1400.0,28.0,0.0,80.0,0.0,0.0,,,1.0,2.0,332.0,,
1, 1,1400.0,31.0,-0.7,82.0,0.0,0.0,,,1.0,2.2,337.0,0.0,0.0
1, 1,1400.0,34.0,0.5,81.0,0.0,0.0,,,1.0,1.2,352.0,,
1, 1,1400.0,37.0,5.2,55.0,0.0,0.0,,,1.0,3.9,306.0,0.0,0.0
1, 1,1400.0,40.0,5.7,50.0,0.0,0.0,,,1.0,3.7,284.0,,
1, 1,1400.0,43.0,3.3,64.0,0.0,0.0,,,1.0,2.7,227.0,0.0,0.0
1, 1,1400.0,46.0,2.0,72.0,0.0,0.0,,,1.0,2.6,204.0,,
1, 1,1400.0,49.0,1.6,85.0,0.0,0.0,,,1.0,1.8,236.0,0.0,0.0
1, 1,1700.0,4.0,4.4,85.0,0.0,30.0,3.7,8.9,4.0,1.3,270.0,0.0,0.0
1, 1,1700.0,7.0,6.4,86.0,1.0,59.0,-1.7,6.7,4.0,1.3,302.0,,
1, 1,1700.0,10.0,8.0,65.0,0.0,20.0,,,3.0,3.1,271.0,0.0,5.0
1, 1,1700.0,13.0,7.9,66.0,0.0,20.0,,,3.0,4.2,300.0,,
1, 1,1700.0,16.0,5.2,70.0,0.0,10.0,,,2.0,1.9,311.0,0.0,0.0
1, 1,1700.0,19.0,2.8,72.0,0.0,0.0,,,1.0,2.4,313.0,,
1, 1,1700.0,22.0,0.8,77.0,0.0,0.0,,,1.0,2.3,320.0,0.0,0.0
1, 1,1700.0,25.0,0.0,80.0,0.0,0.0,,,1.0,2.0,332.0,,
1, 1,1700.0,28.0,-0.7,82.0,0.0,0.0,,,1.0,2.2,337.0,0.0,0.0
1, 1,1700.0,31.0,0.5,81.0,0.0,0.0,,,1.0,1.2,352.0,,
1, 1,1700.0,34.0,5.2,55.0,0.0,0.0,,,1.0,3.9,306.0,0.0,0.0
1, 1,1700.0,37.0,5.7,50.0,0.0,0.0,,,1.0,3.7,284.0,,
1, 1,1700.0,40.0,3.3,64.0,0.0,0.0,,,1.0,2.7,227.0,0.0,0.0
1, 1,1700.0,43.0,2.0,72.0,0.0,0.0,,,1.0,2.6,204.0,,
1, 1,1700.0,46.0,1.6,85.0,0.0,0.0,,,1.0,1.8,236.0,0.0,0.0
1, 1,2000.0,4.0,6.4,86.0,1.0,59.0,-1.5,8.9,4.0,1.3,302.0,,
1, 1,2000.0,7.0,8.3,66.0,0.0,20.0,1.7,6.9,3.0,3.1,271.0,0.0,5.0
1, 1,2000.0,10.0,7.9,66.0,0.0,20.0,,6.3,3.0,4.2,300.0,,
1, 1,2000.0,13.0,5.0,70.0,0.0,10.0,,,2.0,1.9,311.0,0.0,0.0
1, 1,2000.0,16.0,2.7,72.0,0.0,0.0,,,1.0,2.4,313.0,,
1, 1,2000.0,19.0,0.7,77.0,0.0,0.0,,,1.0,2.3,320.0,0.0,0.0
1, 1,2000.0,22.0,-0.3,81.0,0.0,0.0,,,1.0,2.0,332.0,,
1, 1,2000.0,25.0,-0.5,82.0,0.0,0.0,,,1.0,2.2,337.0,0.0,0.0
1, 1,2000.0,28.0,0.5,81.0,0.0,0.0,,,1.0,1.2,352.0,,
1, 1,2000.0,31.0,5.2,55.0,0.0,0.0,,,1.0,3.8,306.0,0.0,0.0
1, 1,2000.0,34.0,5.9,50.0,0.0,0.0,,,1.0,3.7,284.0,,
1, 1,2000.0,37.0,3.3,64.0,0.0,0.0,,,1.0,2.7,227.0,0.0,0.0
1, 1,2000.0,40.0,2.0,72.0,0.0,0.0,,,1.0,2.6,204.0,,
1, 1,2000.0,43.0,1.6,85.0,0.0,10.0,,,2.0,1.8,236.0,0.0,0.0
1, 1,2000.0,46.0,1.8,88.0,0.0,20.0,,,3.0,2.0,263.0,,
1, 1,2000.0,49.0,1.8,84.0,0.0,20.0,,,3.0,2.1,309.0,0.0,0.0
1, 1,2000.0,52.0,3.2,78.0,0.0,9.0,,,2.0,2.0,323.0,,
1, 1,2000.0,55.0,5.5,57.0,0.0,0.0,,,1.0,3.1,339.0,0.0,0.0
1, 1,2000.0,58.0,5.7,49.0,0.0,0.0,,,1.0,3.9,337.0,,
1, 1,2000.0,61.0,4.1,53.0,0.0,0.0,,,1.0,1.9,338.0,0.0,0.0
1, 1,2000.0,64.0,1.9,67.0,0.0,0.0,,,1.0,3.2,352.0,,
1, 1,2000.0,67.0,0.9,72.0,0.0,0.0,,,1.0,1.3,358.0,0.0,0.0
1, 1,2300.0,4.0,8.3,66.0,0.0,20.0,-1.5,8.9,3.0,3.1,271.0,0.0,0.0
1, 1,2300.0,7.0,7.9,66.0,0.0,20.0,1.7,6.9,3.0,4.2,300.0,,
1, 1,2300.0,10.0,5.0,70.0,0.0,10.0,,6.3,2.0,1.9,311.0,0.0,0.0
1, 1,2300.0,13.0,2.7,72.0,0.0,0.0,,,1.0,2.4,313.0,,
1, 1,2300.0,16.0,0.7,77.0,0.0,0.0,,,1.0,2.3,320.0,0.0,0.0
1, 1,2300.0,19.0,-0.3,81.0,0.0,0.0,,,1.0,2.0,332.0,,
1, 1,2300.0,22.0,-0.5,82.0,0.0,0.0,,,1.0,2.2,337.0,0.0,0.0
1, 1,2300.0,25.0,0.5,81.0,0.0,0.0,,,1.0,1.2,352.0,,
1, 1,2300.0,28.0,5.2,55.0,0.0,0.0,,,1.0,3.8,306.0,0.0,0.0
1, 1,2300.0,31.0,5.9,50.0,0.0,0.0,,,1.0,3.7,284.0,,
1, 1,2300.0,34.0,3.3,64.0,0.0,0.0,,,1.0,2.7,227.0,0.0,0.0
1, 1,2300.0,37.0,2.0,72.0,0.0,0.0,,,1.0,2.6,204.0,,
1, 1,2300.0,40.0,1.6,85.0,0.0,10.0,,,2.0,1.8,236.0,0.0,0.0
1, 1,2300.0,43.0,1.8,88.0,0.0,20.0,,,3.0,2.0,263.0,,
1, 1,2300.0,46.0,1.8,84.0,0.0,20.0,,,3.0,2.1,309.0,0.0,0.0
1, 1,2300.0,49.0,3.2,78.0,0.0,9.0,,,2.0,2.0,323.0,,
1, 1,2300.0,52.0,5.5,57.0,0.0,0.0,,,1.0,3.1,339.0,0.0,0.0
1, 1,2300.0,55.0,5.7,49.0,0.0,0.0,,,1.0,3.9,337.0,,
1, 1,2300.0,58.0,4.1,53.0,0.0,0.0,,,1.0,1.9,338.0,0.0,0.0
1, 1,2300.0,61.0,1.9,67.0,0.0,0.0,,,1.0,3.2,352.0,,
1, 1,2300.0,64.0,0.9,72.0,0.0,0.0,,,1.0,1.3,358.0,0.0,0.0
1, 10,200.0,4.0,2.0,50.0,0.0,20.0,-5.0,3.0,3.0,6.7,318.0,,
1, 10,200.0,7.0,-1.0,55.0,0.0,0.0,2.0,3.0,1.0,6.0,327.0,0.0,0.0
1, 10,200.0,10.0,-2.0,65.0,0.0,0.0,,4.0,1.0,4.7,333.0,,
1, 10,200.0,13.0,-3.0,70.0,0.0,0.0,,,1.0,5.1,335.0,0.0,0.0
1, 10,200.0,16.0,-4.0,70.0,0.0,0.0,,,1.0,3.0,335.0,,
1, 10,200.0,19.0,-3.0,70.0,0.0,0.0,,,1.0,2.0,300.0,0.0,0.0
1, 10,200.0,22.0,0.0,70.0,0.0,10.0,,,2.0,3.5,306.0,,
1, 10,200.0,25.0,3.0,55.0,0.0,20.0,,,3.0,3.9,325.0,0.0,0.0
1, 10,200.0,28.0,3.0,50.0,0.0,20.0,,,3.0,3.3,314.0,,
1, 10,200.0,31.0,1.0,60.0,0.0,10.0,,,2.0,4.6,267.0,0.0,0.0
1, 10,200.0,34.0,1.0,65.0,0.0,10.0,,,2.0,4.8,279.0,,
1, 10,200.0,37.0,3.0,65.0,0.0,20.0,,,3.0,4.8,269.0,0.0,0.0
1, 10,200.0,40.0,3.0,65.0,0.0,20.0,,,3.0,5.8,267.0,,
1, 10,200.0,43.0,3.0,65.0,0.0,20.0,,,3.0,5.0,272.0,0.0,0.0
1, 10,200.0,46.0,3.0,75.0,0.0,20.0,,,3.0,5.0,273.0,,
1, 10,200.0,49.0,4.0,75.0,0.0,10.0,,,3.0,3.5,333.0,0.0,0.0
1, 10,200.0,52.0,3.0,65.0,0.0,20.0,,,3.0,3.5,347.0,,
1, 10,200.0,55.0,1.0,70.0,0.0,10.0,,,2.0,1.5,340.0,0.0,0.0
1, 10,200.0,58.0,0.0,70.0,0.0,10.0,,,2.0,2.9,317.0,,
1, 10,200.0,61.0,-1.0,70.0,0.0,10.0,,,2.0,3.3,332.0,0.0,0.0
1, 10,500.0,4.0,-2.0,75.0,0.0,0.0,-5.0,3.0,1.0,5.4,327.0,0.0,0.0
1, 10,500.0,7.0,-3.0,75.0,0.0,0.0,1.0,3.0,1.0,5.1,333.0,,
1, 10,500.0,10.0,-3.0,80.0,0.0,0.0,,,1.0,4.9,335.0,0.0,0.0
1, 10,500.0,13.0,-4.0,75.0,0.0,0.0,,,1.0,3.6,335.0,,
1, 10,500.0,16.0,-4.0,80.0,0.0,0.0,,,1.0,2.2,300.0,0.0,0.0
1, 10,500.0,19.0,0.0,80.0,0.0,10.0,,,2.0,2.5,306.0,,
1, 10,500.0,22.0,2.0,65.0,0.0,20.0,,,3.0,4.4,325.0,0.0,0.0
1, 10,500.0,25.0,3.0,50.0,0.0,20.0,,,3.0,4.1,314.0,,
1, 10,500.0,28.0,0.0,65.0,0.0,10.0,,,2.0,4.8,267.0,0.0,0.0
1, 10,500.0,31.0,1.0,70.0,0.0,10.0,,,2.0,2.9,279.0,,
1, 10,500.0,34.0,2.0,70.0,0.0,20.0,,,3.0,4.8,269.0,0.0,0.0
1, 10,500.0,37.0,3.0,65.0,0.0,20.0,,,3.0,4.2,267.0,,
1, 10,500.0,40.0,3.0,65.0,0.0,20.0,,,3.0,4.2,272.0,0.0,0.0
1, 10,500.0,43.0,2.0,80.0,0.0,20.0,,,3.0,2.3,273.0,,
1, 10,500.0,46.0,3.0,65.0,0.0,10.0,,,3.0,3.5,333.0,0.0,0.0
1, 10,500.0,49.0,2.0,60.0,0.0,20.0,,,3.0,3.2,347.0,,
1, 10,500.0,52.0,1.0,70.0,0.0,10.0,,,2.0,4.8,340.0,0.0,0.0
1, 10,500.0,55.0,0.0,75.0,0.0,10.0,,,2.0,2.8,317.0,,
1, 10,500.0,58.0,-1.0,75.0,0.0,10.0,,,2.0,2.5,332.0,0.0,0.0
1, 10,800.0,4.0,-3.0,60.0,0.0,0.0,-4.0,3.0,1.0,6.0,332.0,,
1, 10,800.0,7.0,-4.0,60.0,0.0,0.0,1.0,3.0,1.0,6.5,328.0,0.0,0.0
1, 10,800.0,10.0,-3.0,55.0,0.0,0.0,,,1.0,4.8,330.0,,
1, 10,800.0,13.0,-4.0,55.0,0.0,0.0,,,1.0,2.8,319.0,0.0,0.0
1, 10,800.0,16.0,-3.0,65.0,0.0,10.0,,,2.0,1.5,302.0,,
1, 10,800.0,19.0,2.0,60.0,0.0,20.0,,,3.0,4.0,317.0,0.0,0.0
1, 10,800.0,22.0,3.0,50.0,0.0,20.0,,,3.0,4.1,319.0,,
1, 10,800.0,25.0,1.0,60.0,0.0,10.0,,,2.0,5.1,294.0,0.0,0.0
1, 10,800.0,28.0,1.0,65.0,0.0,10.0,,,2.0,3.1,263.0,,
1, 10,800.0,31.0,3.0,65.0,0.0,20.0,,,3.0,5.3,278.0,0.0,0.0
1, 10,800.0,34.0,3.0,60.0,0.0,20.0,,,3.0,4.5,278.0,,
1, 10,800.0,37.0,3.0,65.0,0.0,20.0,,,3.0,5.1,291.0,0.0,0.0
1, 10,800.0,40.0,1.0,80.0,3.0,60.0,,,4.0,2.3,5.0,,
1, 10,800.0,43.0,3.0,65.0,0.0,20.0,,,3.0,3.6,358.0,1.0,1.0
1, 10,800.0,46.0,3.0,60.0,0.0,20.0,,,3.0,3.3,342.0,,
1, 10,800.0,49.0,1.0,70.0,0.0,10.0,,,2.0,4.9,336.0,0.0,0.0
1, 10,800.0,52.0,0.0,65.0,0.0,10.0,,,2.0,3.1,328.0,,
1, 10,800.0,55.0,-2.0,65.0,0.0,10.0,,,2.0,3.0,323.0,0.0,0.0
1, 10,1100.0,4.0,-4.0,60.0,0.0,0.0,-4.0,3.0,1.0,6.5,328.0,0.0,0.0
1, 10,1100.0,7.0,-3.0,55.0,0.0,0.0,1.0,3.0,1.0,4.8,330.0,,
1, 10,1100.0,10.0,-4.0,55.0,0.0,0.0,,,1.0,2.8,319.0,0.0,0.0
1, 10,1100.0,13.0,-3.0,65.0,0.0,10.0,,,2.0,1.5,302.0,,
1, 10,1100.0,16.0,2.0,60.0,0.0,20.0,,,3.0,4.0,317.0,0.0,0.0
1, 10,1100.0,19.0,3.0,50.0,0.0,20.0,,,3.0,4.1,319.0,,
1, 10,1100.0,22.0,1.0,60.0,0.0,10.0,,,2.0,5.1,294.0,0.0,0.0
1, 10,1100.0,25.0,1.0,65.0,0.0,10.0,,,2.0,3.1,263.0,,
1, 10,1100.0,28.0,3.0,65.0,0.0,20.0,,,3.0,5.3,278.0,0.0,0.0
1, 10,1100.0,31.0,3.0,60.0,0.0,20.0,,,3.0,4.5,278.0,,
1, 10,1100.0,34.0,3.0,65.0,0.0,20.0,,,3.0,5.1,291.0,0.0,0.0
1, 10,1100.0,37.0,1.0,80.0,3.0,60.0,,,4.0,2.3,5.0,,
1, 10,1100.0,40.0,3.0,65.0,0.0,20.0,,,3.0,3.6,358.0,1.0,1.0
1, 10,1100.0,43.0,3.0,60.0,0.0,20.0,,,3.0,3.3,342.0,,
1, 10,1100.0,46.0,1.0,70.0,0.0,10.0,,,2.0,4.9,336.0,0.0,0.0
1, 10,1100.0,49.0,0.0,65.0,0.0,10.0,,,2.0,3.1,328.0,,
1, 10,1100.0,52.0,-2.0,65.0,0.0,10.0,,,2.0,3.0,323.0,0.0,0.0
1, 10,1400.0,4.0,-3.0,55.0,0.0,0.0,-4.0,3.0,1.0,4.8,330.0,,
1, 10,1400.0,7.0,-4.0,55.0,0.0,0.0,1.0,3.0,1.0,2.8,319.0,0.0,0.0
1, 10,1400.0,10.0,-3.0,65.0,0.0,10.0,,,2.0,1.5,302.0,,
1, 10,1400.0,13.0,2.0,60.0,0.0,20.0,,,3.0,4.0,317.0,0.0,0.0
1, 10,1400.0,16.0,3.0,50.0,0.0,20.0,,,3.0,4.1,319.0,,
1, 10,1400.0,19.0,1.0,60.0,0.0,10.0,,,2.0,5.1,294.0,0.0,0.0
1, 10,1400.0,22.0,1.0,65.0,0.0,10.0,,,2.0,3.1,263.0,,
1, 10,1400.0,25.0,3.0,65.0,0.0,20.0,,,3.0,5.3,278.0,0.0,0.0
1, 10,1400.0,28.0,3.0,60.0,0.0,20.0,,,3.0,4.5,278.0,,
1, 10,1400.0,31.0,3.0,65.0,0.0,20.0,,,3.0,5.1,291.0,0.0,0.0
1, 10,1400.0,34.0,1.0,80.0,3.0,60.0,,,4.0,2.3,5.0,,
1, 10,1400.0,37.0,3.0,65.0,0.0,20.0,,,3.0,3.6,358.0,1.0,1.0
1, 10,1400.0,40.0,3.0,60.0,0.0,20.0,,,3.0,3.3,342.0,,
1, 10,1400.0,43.0,1.0,70.0,0.0,10.0,,,2.0,4.9,336.0,0.0,0.0
1, 10,1400.0,46.0,0.0,65.0,0.0,10.0,,,2.0,3.1,328.0,,
1, 10,1400.0,49.0,-2.0,65.0,0.0,10.0,,,2.0,3.0,323.0,0.0,0.0
1, 10,1700.0,4.0,-4.0,55.0,0.0,0.0,-4.0,3.0,1.0,3.7,319.0,0.0,0.0
1, 10,1700.0,7.0,-3.0,70.0,0.0,10.0,1.0,3.0,2.0,1.1,302.0,,
