month, format: day,hour,forecast,일최저기온,강수형태,6시간적설,풍향,강수확률,습도,일최고기온,하늘상태,6시간강수량,풍속,3시간기온
1, 1,200.0,4.0,-3.0,0.0,,345.0,0.0,45.0,3.0,1.0,,2.0,3.0
1, 1,200.0,7.0,-5.0,0.0,0.0,327.0,0.0,70.0,2.0,1.0,0.0,3.5,-1.0
1, 1,200.0,10.0,,0.0,,270.0,0.0,75.0,-1.0,1.0,,1.5,-1.0
1, 1,200.0,13.0,,0.0,0.0,270.0,0.0,85.0,,1.0,0.0,1.5,-1.0
1, 1,200.0,16.0,,0.0,,313.0,0.0,85.0,,1.0,,3.5,-1.0
1, 1,200.0,19.0,,0.0,0.0,343.0,0.0,75.0,,1.0,0.0,3.1,-2.0
1, 1,200.0,22.0,,0.0,,34.0,0.0,65.0,,1.0,,2.7,-2.0
1, 1,200.0,25.0,,0.0,0.0,33.0,0.0,50.0,,1.0,0.0,1.7,1.0
1, 1,200.0,28.0,,0.0,,9.0,10.0,50.0,,2.0,,2.5,1.0
1, 1,200.0,31.0,,0.0,0.0,359.0,10.0,60.0,,2.0,0.0,4.0,-1.0
1, 1,200.0,34.0,,0.0,,356.0,20.0,60.0,,3.0,,4.3,-2.0
1, 1,200.0,37.0,,0.0,0.0,334.0,20.0,65.0,,3.0,0.0,5.1,-3.0
1, 1,200.0,40.0,,0.0,,343.0,20.0,65.0,,3.0,,4.9,-4.0
1, 1,200.0,43.0,,0.0,0.0,345.0,20.0,70.0,,3.0,0.0,4.8,-4.0
1, 1,200.0,46.0,,0.0,,347.0,10.0,65.0,,2.0,,4.0,-4.0
1, 1,200.0,49.0,,0.0,0.0,336.0,10.0,60.0,,2.0,0.0,3.9,-1.0
1, 1,200.0,52.0,,0.0,,329.0,10.0,60.0,,2.0,,4.2,-1.0
1, 1,200.0,55.0,,0.0,0.0,332.0,10.0,65.0,,2.0,0.0,4.0,-2.0
1, 1,200.0,58.0,,0.0,,339.0,10.0,70.0,,2.0,,4.5,-3.0
1, 1,200.0,61.0,,0.0,0.0,342.0,10.0,65.0,,2.0,0.0,4.5,-4.0
1, 1,500.0,4.0,-3.0,0.0,0.0,327.0,0.0,70.0,2.0,1.0,0.0,3.5,-1.0
1, 1,500.0,7.0,-5.0,0.0,,270.0,0.0,75.0,-1.0,1.0,,1.5,-1.0
1, 1,500.0,10.0,,0.0,0.0,270.0,0.0,85.0,,1.0,0.0,1.5,-1.0
1, 1,500.0,13.0,,0.0,,313.0,0.0,85.0,,1.0,,3.5,-1.0
1, 1,500.0,16.0,,0.0,0.0,343.0,0.0,75.0,,1.0,0.0,3.1,-2.0
1, 1,500.0,19.0,,0.0,,34.0,0.0,65.0,,1.0,,2.7,-2.0
1, 1,500.0,22.0,,0.0,0.0,33.0,0.0,50.0,,1.0,0.0,1.7,1.0
1, 1,500.0,25.0,,0.0,,9.0,10.0,50.0,,2.0,,2.5,1.0
1, 1,500.0,28.0,,0.0,0.0,359.0,10.0,60.0,,2.0,0.0,4.0,-1.0
1, 1,500.0,31.0,,0.0,,356.0,20.0,60.0,,3.0,,4.3,-2.0
1, 1,500.0,34.0,,0.0,0.0,334.0,20.0,65.0,,3.0,0.0,5.1,-3.0
1, 1,500.0,37.0,,0.0,,343.0,20.0,65.0,,3.0,,4.9,-4.0
1, 1,500.0,40.0,,0.0,0.0,345.0,20.0,70.0,,3.0,0.0,4.8,-4.0
1, 1,500.0,43.0,,0.0,,347.0,10.0,65.0,,2.0,,4.0,-4.0
1, 1,500.0,46.0,,0.0,0.0,336.0,10.0,60.0,,2.0,0.0,3.9,-1.0
1, 1,500.0,49.0,,0.0,,329.0,10.0,60.0,,2.0,,4.2,-1.0
1, 1,500.0,52.0,,0.0,0.0,332.0,10.0,65.0,,2.0,0.0,4.0,-2.0
1, 1,500.0,55.0,,0.0,,339.0,10.0,70.0,,2.0,,4.5,-3.0
1, 1,500.0,58.0,,0.0,0.0,342.0,10.0,65.0,,2.0,0.0,4.5,-4.0
1, 1,800.0,4.0,-3.0,0.0,,270.0,0.0,75.0,1.0,1.0,,2.7,-1.0
1, 1,800.0,7.0,-5.0,0.0,0.0,270.0,0.0,80.0,-1.0,1.0,0.0,4.0,-1.0
1, 1,800.0,10.0,,0.0,,313.0,0.0,90.0,,1.0,,4.2,-1.0
1, 1,800.0,13.0,,0.0,0.0,343.0,0.0,75.0,,1.0,0.0,4.0,-2.0
1, 1,800.0,16.0,,0.0,,34.0,0.0,70.0,,1.0,,3.2,-2.0
1, 1,800.0,19.0,,0.0,0.0,33.0,0.0,50.0,,1.0,0.0,2.3,1.0
1, 1,800.0,22.0,,0.0,,9.0,10.0,50.0,,2.0,,2.5,1.0
