month, format: day,hour,forecast,풍속,하늘상태,6시간적설,풍향,습도,6시간강수량,강수형태,일최저기온,3시간기온,강수확률,일최고기온
1, 1,200.0,4.0,9.6,3.0,,301.0,60.0,,0.0,-6.0,-1.0,20.0,0.0
1, 1,200.0,7.0,10.1,2.0,0.0,303.0,60.0,0.0,0.0,-7.0,-3.0,10.0,1.0
1, 1,200.0,10.0,10.3,1.0,,313.0,65.0,,0.0,,-3.0,0.0,3.0
1, 1,200.0,13.0,9.7,1.0,0.0,319.0,65.0,0.0,0.0,,-3.0,0.0,
1, 1,200.0,16.0,8.6,1.0,,316.0,75.0,,0.0,,-4.0,0.0,
1, 1,200.0,19.0,8.2,2.0,0.0,316.0,75.0,0.0,0.0,,-5.0,10.0,
1, 1,200.0,22.0,6.4,2.0,,325.0,70.0,,0.0,,-5.0,10.0,
1, 1,200.0,25.0,7.7,1.0,0.0,324.0,50.0,0.0,0.0,,-1.0,0.0,
1, 1,200.0,28.0,6.9,1.0,,323.0,45.0,,0.0,,0.0,0.0,
1, 1,200.0,31.0,5.7,1.0,0.0,318.0,70.0,0.0,0.0,,-3.0,0.0,
1, 1,200.0,34.0,6.7,1.0,,313.0,70.0,,0.0,,-4.0,0.0,
1, 1,200.0,37.0,7.1,1.0,0.0,317.0,75.0,0.0,0.0,,-4.0,0.0,
1, 1,200.0,40.0,6.5,1.0,,328.0,80.0,,0.0,,-5.0,0.0,
1, 1,200.0,43.0,5.7,1.0,0.0,333.0,80.0,0.0,0.0,,-6.0,0.0,
1, 1,200.0,46.0,3.3,1.0,,331.0,75.0,,0.0,,-4.0,0.0,
1, 1,200.0,49.0,3.3,1.0,0.0,339.0,50.0,0.0,0.0,,1.0,0.0,
1, 1,200.0,52.0,3.4,1.0,,322.0,50.0,,0.0,,2.0,0.0,
1, 1,200.0,55.0,3.7,1.0,0.0,306.0,90.0,0.0,0.0,,-3.0,0.0,
1, 1,200.0,58.0,3.6,1.0,,312.0,95.0,,0.0,,-3.0,0.0,
1, 1,200.0,61.0,1.5,1.0,0.0,286.0,100.0,0.0,0.0,,-4.0,0.0,
1, 1,500.0,4.0,10.1,2.0,0.0,303.0,60.0,0.0,0.0,-6.0,-3.0,10.0,1.0
1, 1,500.0,7.0,10.3,1.0,,313.0,65.0,,0.0,-7.0,-3.0,0.0,3.0
1, 1,500.0,10.0,9.7,1.0,0.0,319.0,65.0,0.0,0.0,,-3.0,0.0,
1, 1,500.0,13.0,8.6,1.0,,316.0,75.0,,0.0,,-4.0,0.0,
1, 1,500.0,16.0,8.2,2.0,0.0,316.0,75.0,0.0,0.0,,-5.0,10.0,
1, 1,500.0,19.0,6.4,2.0,,325.0,70.0,,0.0,,-5.0,10.0,
1, 1,500.0,22.0,7.7,1.0,0.0,324.0,50.0,0.0,0.0,,-1.0,0.0,
1, 1,500.0,25.0,6.9,1.0,,323.0,45.0,,0.0,,0.0,0.0,
1, 1,500.0,28.0,5.7,1.0,0.0,318.0,70.0,0.0,0.0,,-3.0,0.0,
1, 1,500.0,31.0,6.7,1.0,,313.0,70.0,,0.0,,-4.0,0.0,
1, 1,500.0,34.0,7.1,1.0,0.0,317.0,75.0,0.0,0.0,,-4.0,0.0,
1, 1,500.0,37.0,6.5,1.0,,328.0,80.0,,0.0,,-5.0,0.0,
1, 1,500.0,40.0,5.7,1.0,0.0,333.0,80.0,0.0,0.0,,-6.0,0.0,
1, 1,500.0,43.0,3.3,1.0,,331.0,75.0,,0.0,,-4.0,0.0,
1, 1,500.0,46.0,3.3,1.0,0.0,339.0,50.0,0.0,0.0,,1.0,0.0,
1, 1,500.0,49.0,3.4,1.0,,322.0,50.0,,0.0,,2.0,0.0,
1, 1,500.0,52.0,3.7,1.0,0.0,306.0,90.0,0.0,0.0,,-3.0,0.0,
1, 1,500.0,55.0,3.6,1.0,,312.0,95.0,,0.0,,-3.0,0.0,
1, 1,500.0,58.0,1.5,1.0,0.0,286.0,100.0,0.0,0.0,,-4.0,0.0,
1, 1,800.0,4.0,10.0,3.0,,315.0,60.0,,0.0,-6.0,-3.0,20.0,1.0
1, 1,800.0,7.0,9.5,2.0,0.0,321.0,60.0,0.0,0.0,-7.0,-3.0,10.0,3.0
1, 1,800.0,10.0,8.3,2.0,,312.0,75.0,,0.0,,-4.0,10.0,
1, 1,800.0,13.0,7.5,2.0,0.0,317.0,70.0,0.0,0.0,,-5.0,10.0,
1, 1,800.0,16.0,5.7,2.0,,329.0,70.0,,0.0,,-5.0,10.0,
1, 1,800.0,19.0,6.6,1.0,0.0,329.0,45.0,0.0,0.0,,-1.0,0.0,
1, 1,800.0,22.0,6.4,1.0,,323.0,45.0,,0.0,,0.0,0.0,
1, 1,800.0,25.0,5.5,1.0,0.0,319.0,70.0,0.0,0.0,,-3.0,0.0,
1, 1,800.0,28.0,6.0,1.0,,320.0,70.0,,0.0,,-4.0,0.0,
1, 1,800.0,31.0,6.4,1.0,0.0,323.0,75.0,0.0,0.0,,-4.0,0.0,
1, 1,800.0,34.0,5.9,1.0,,337.0,80.0,,0.0,,-5.0,0.0,
1, 1,800.0,37.0,5.5,1.0,0.0,332.0,85.0,0.0,0.0,,-6.0,0.0,
1, 1,800.0,40.0,4.3,1.0,,324.0,80.0,,0.0,,-4.0,0.0,
1, 1,800.0,43.0,4.9,1.0,0.0,323.0,55.0,0.0,0.0,,1.0,0.0,
1, 1,800.0,46.0,4.2,1.0,,327.0,45.0,,0.0,,2.0,0.0,
1, 1,800.0,49.0,4.2,1.0,0.0,317.0,85.0,0.0,0.0,,-3.0,0.0,
1, 1,800.0,52.0,3.6,1.0,,323.0,95.0,,0.0,,-3.0,0.0,
1, 1,800.0,55.0,1.4,1.0,0.0,291.0,100.0,0.0,0.0,,-4.0,0.0,
1, 1,1100.0,4.0,9.5,2.0,0.0,321.0,60.0,0.0,0.0,-6.0,-3.0,10.0,1.0
1, 1,1100.0,7.0,8.3,2.0,,312.0,75.0,,0.0,-7.0,-4.0,10.0,3.0
1, 1,1100.0,10.0,7.5,2.0,0.0,317.0,70.0,0.0,0.0,,-5.0,10.0,
1, 1,1100.0,13.0,5.7,2.0,,329.0,70.0,,0.0,,-5.0,10.0,
1, 1,1100.0,16.0,6.6,1.0,0.0,329.0,45.0,0.0,0.0,,-1.0,0.0,
1, 1,1100.0,19.0,6.4,1.0,,323.0,45.0,,0.0,,0.0,0.0,
1, 1,1100.0,22.0,5.5,1.0,0.0,319.0,70.0,0.0,0.0,,-3.0,0.0,
1, 1,1100.0,25.0,6.0,1.0,,320.0,70.0,,0.0,,-4.0,0.0,
1, 1,1100.0,28.0,6.4,1.0,0.0,323.0,75.0,0.0,0.0,,-4.0,0.0,
1, 1,1100.0,31.0,5.9,1.0,,337.0,80.0,,0.0,,-5.0,0.0,
1, 1,1100.0,34.0,5.5,1.0,0.0,332.0,85.0,0.0,0.0,,-6.0,0.0,
