month, format: day,hour,forecast,일최고기온,6시간강수량,풍속,강수형태,3시간기온,하늘상태,6시간적설,풍향,일최저기온,강수확률,습도
1, 1,200.0,4.0,3.0,,3.1,0.0,3.0,4.0,,299.0,-1.0,30.0,70.0
1, 1,200.0,7.0,6.0,0.0,2.3,0.0,1.0,4.0,0.0,299.0,-2.0,30.0,75.0
1, 1,200.0,10.0,6.0,,1.8,0.0,0.0,4.0,,297.0,,30.0,85.0
1, 1,200.0,13.0,,0.0,1.8,0.0,1.0,3.0,0.0,289.0,,20.0,85.0
1, 1,200.0,16.0,,,1.6,0.0,1.0,4.0,,308.0,,30.0,85.0
1, 1,200.0,19.0,,0.0,1.6,0.0,0.0,4.0,0.0,317.0,,30.0,80.0
1, 1,200.0,22.0,,,1.4,0.0,0.0,3.0,,309.0,,20.0,85.0
1, 1,200.0,25.0,,0.0,1.8,0.0,4.0,3.0,0.0,297.0,,20.0,75.0
1, 1,200.0,28.0,,,2.6,0.0,5.0,3.0,,313.0,,20.0,75.0
1, 1,200.0,31.0,,0.0,2.1,0.0,3.0,3.0,0.0,321.0,,20.0,80.0
1, 1,200.0,34.0,,,1.8,0.0,1.0,3.0,,322.0,,20.0,80.0
1, 1,200.0,37.0,,0.0,1.5,0.0,0.0,3.0,0.0,323.0,,20.0,75.0
1, 1,200.0,40.0,,,1.6,0.0,0.0,3.0,,320.0,,20.0,90.0
1, 1,200.0,43.0,,0.0,1.5,0.0,0.0,3.0,0.0,328.0,,20.0,90.0
1, 1,200.0,46.0,,,1.6,0.0,0.0,4.0,,325.0,,30.0,90.0
1, 1,200.0,49.0,,0.0,2.0,0.0,5.0,4.0,0.0,319.0,,30.0,70.0
1, 1,200.0,52.0,,,2.8,0.0,6.0,4.0,,319.0,,30.0,65.0
1, 1,200.0,55.0,,0.0,1.9,0.0,4.0,4.0,0.0,325.0,,30.0,80.0
1, 1,200.0,58.0,,,1.6,0.0,2.0,4.0,,317.0,,30.0,90.0
1, 1,200.0,61.0,,0.0,1.5,0.0,2.0,3.0,0.0,302.0,,20.0,90.0
1, 1,500.0,4.0,6.0,0.0,2.3,0.0,1.0,4.0,0.0,299.0,-1.0,30.0,75.0
1, 1,500.0,7.0,6.0,,1.8,0.0,0.0,4.0,,297.0,-2.0,30.0,85.0
1, 1,500.0,10.0,,0.0,1.8,0.0,1.0,3.0,0.0,289.0,,20.0,85.0
1, 1,500.0,13.0,,,1.6,0.0,1.0,4.0,,308.0,,30.0,85.0
1, 1,500.0,16.0,,0.0,1.6,0.0,0.0,4.0,0.0,317.0,,30.0,80.0
1, 1,500.0,19.0,,,1.4,0.0,0.0,3.0,,309.0,,20.0,85.0
1, 1,500.0,22.0,,0.0,1.8,0.0,4.0,3.0,0.0,297.0,,20.0,75.0
1, 1,500.0,25.0,,,2.6,0.0,5.0,3.0,,313.0,,20.0,75.0
1, 1,500.0,28.0,,0.0,2.1,0.0,3.0,3.0,0.0,321.0,,20.0,80.0
1, 1,500.0,31.0,,,1.8,0.0,1.0,3.0,,322.0,,20.0,80.0
1, 1,500.0,34.0,,0.0,1.5,0.0,0.0,3.0,0.0,323.0,,20.0,75.0
1, 1,500.0,37.0,,,1.6,0.0,0.0,3.0,,320.0,,20.0,90.0
