month, format: day,hour,forecast,강수형태,강수확률,풍속,3시간기온,습도,일최고기온,하늘상태,6시간적설,6시간강수량,일최저기온,풍향
1, 1,200.0,4.0,0.0,30.0,2.7,1.0,55.0,2.0,4.0,,,-7.0,360.0
1, 1,200.0,7.0,3.0,60.0,2.3,-1.0,75.0,-3.0,4.0,1.0,1.0,-8.0,7.0
1, 1,200.0,10.0,0.0,30.0,1.8,-2.0,65.0,-2.0,4.0,,,,29.0
1, 1,200.0,13.0,0.0,30.0,2.6,-3.0,60.0,,4.0,0.0,0.0,,29.0
1, 1,200.0,16.0,0.0,30.0,4.3,-4.0,55.0,,4.0,,,,29.0
1, 1,200.0,19.0,0.0,30.0,3.0,-5.0,55.0,,4.0,0.0,0.0,,37.0
1, 1,200.0,22.0,0.0,30.0,2.7,-5.0,50.0,,4.0,,,,27.0
1, 1,200.0,25.0,0.0,10.0,4.4,-3.0,45.0,,3.0,0.0,0.0,,335.0
1, 1,200.0,28.0,0.0,0.0,5.8,-3.0,45.0,,1.0,,,,321.0
1, 1,200.0,31.0,0.0,0.0,4.0,-4.0,50.0,,1.0,0.0,0.0,,313.0
1, 1,200.0,34.0,0.0,0.0,5.1,-4.0,50.0,,1.0,,,,327.0
1, 1,200.0,37.0,0.0,0.0,5.2,-5.0,55.0,,1.0,0.0,0.0,,337.0
1, 1,200.0,40.0,0.0,30.0,4.2,-5.0,60.0,,4.0,,,,348.0
1, 1,200.0,43.0,0.0,30.0,3.2,-6.0,65.0,,4.0,0.0,0.0,,4.0
1, 1,200.0,46.0,0.0,30.0,4.0,-5.0,55.0,,4.0,,,,3.0
1, 1,200.0,49.0,0.0,30.0,5.3,-3.0,45.0,,4.0,0.0,0.0,,347.0
1, 1,200.0,52.0,0.0,20.0,5.0,-2.0,40.0,,3.0,,,,340.0
1, 1,200.0,55.0,0.0,20.0,2.5,-4.0,50.0,,3.0,0.0,0.0,,358.0
1, 1,200.0,58.0,0.0,0.0,1.7,-4.0,55.0,,1.0,,,,50.0
1, 1,200.0,61.0,0.0,0.0,1.4,-5.0,65.0,,1.0,0.0,0.0,,86.0
1, 1,500.0,4.0,3.0,60.0,2.3,-1.0,75.0,-3.0,4.0,1.0,1.0,-7.0,7.0
1, 1,500.0,7.0,0.0,30.0,1.8,-2.0,65.0,-2.0,4.0,,,-8.0,29.0
1, 1,500.0,10.0,0.0,30.0,2.6,-3.0,60.0,,4.0,0.0,0.0,,29.0
1, 1,500.0,13.0,0.0,30.0,4.3,-4.0,55.0,,4.0,,,,29.0
1, 1,500.0,16.0,0.0,30.0,3.0,-5.0,55.0,,4.0,0.0,0.0,,37.0
1, 1,500.0,19.0,0.0,30.0,2.7,-5.0,50.0,,4.0,,,,27.0
1, 1,500.0,22.0,0.0,10.0,4.4,-3.0,45.0,,3.0,0.0,0.0,,335.0
1, 1,500.0,25.0,0.0,0.0,5.8,-3.0,45.0,,1.0,,,,321.0
1, 1,500.0,28.0,0.0,0.0,4.0,-4.0,50.0,,1.0,0.0,0.0,,313.0
1, 1,500.0,31.0,0.0,0.0,5.1,-4.0,50.0,,1.0,,,,327.0
1, 1,500.0,34.0,0.0,0.0,5.2,-5.0,55.0,,1.0,0.0,0.0,,337.0
1, 1,500.0,37.0,0.0,30.0,4.2,-5.0,60.0,,4.0,,,,348.0
1, 1,500.0,40.0,0.0,30.0,3.2,-6.0,65.0,,4.0,0.0,0.0,,4.0
1, 1,500.0,43.0,0.0,30.0,4.0,-5.0,55.0,,4.0,,,,3.0
1, 1,500.0,46.0,0.0,30.0,5.3,-3.0,45.0,,4.0,0.0,0.0,,347.0
1, 1,500.0,49.0,0.0,20.0,5.0,-2.0,40.0,,3.0,,,,340.0
1, 1,500.0,52.0,0.0,20.0,2.5,-4.0,50.0,,3.0,0.0,0.0,,358.0
1, 1,500.0,55.0,0.0,0.0,1.7,-4.0,55.0,,1.0,,,,50.0
1, 1,500.0,58.0,0.0,0.0,1.4,-5.0,65.0,,1.0,0.0,0.0,,86.0
1, 1,800.0,4.0,0.0,30.0,2.1,-2.0,70.0,-2.0,4.0,,,-7.0,19.0
1, 1,800.0,7.0,0.0,30.0,2.6,-2.0,60.0,-2.0,4.0,0.0,0.0,-8.0,31.0
1, 1,800.0,10.0,0.0,30.0,3.4,-4.0,50.0,,4.0,,,,34.0
1, 1,800.0,13.0,0.0,30.0,2.5,-5.0,50.0,,4.0,0.0,0.0,,42.0
1, 1,800.0,16.0,0.0,30.0,2.9,-4.0,50.0,,4.0,,,,27.0
1, 1,800.0,19.0,0.0,10.0,4.4,-2.0,40.0,,3.0,0.0,0.0,,340.0
1, 1,800.0,22.0,0.0,0.0,5.6,-2.0,45.0,,1.0,,,,324.0
1, 1,800.0,25.0,0.0,0.0,3.7,-3.0,50.0,,1.0,0.0,0.0,,304.0
1, 1,800.0,28.0,0.0,0.0,5.4,-4.0,50.0,,1.0,,,,321.0
1, 1,800.0,31.0,0.0,0.0,5.4,-4.0,55.0,,1.0,0.0,0.0,,341.0
1, 1,800.0,34.0,0.0,30.0,4.6,-4.0,60.0,,4.0,,,,341.0
1, 1,800.0,37.0,0.0,30.0,4.2,-5.0,60.0,,4.0,0.0,0.0,,352.0
1, 1,800.0,40.0,0.0,30.0,4.6,-5.0,50.0,,4.0,,,,349.0
1, 1,800.0,43.0,0.0,30.0,6.1,-3.0,40.0,,4.0,0.0,0.0,,344.0
1, 1,800.0,46.0,0.0,20.0,5.2,-2.0,40.0,,3.0,,,,342.0
1, 1,800.0,49.0,0.0,20.0,2.3,-4.0,50.0,,3.0,0.0,0.0,,358.0
1, 1,800.0,52.0,0.0,0.0,1.1,-4.0,55.0,,1.0,,,,45.0
1, 1,800.0,55.0,0.0,0.0,1.7,-5.0,65.0,,1.0,0.0,0.0,,90.0
1, 1,1100.0,4.0,0.0,30.0,2.6,-2.0,60.0,-2.0,4.0,0.0,0.0,-7.0,31.0
1, 1,1100.0,7.0,0.0,30.0,3.4,-4.0,50.0,-2.0,4.0,,,-8.0,34.0
1, 1,1100.0,10.0,0.0,30.0,2.5,-5.0,50.0,,4.0,0.0,0.0,,42.0
1, 1,1100.0,13.0,0.0,30.0,2.9,-4.0,50.0,,4.0,,,,27.0
1, 1,1100.0,16.0,0.0,10.0,4.4,-2.0,40.0,,3.0,0.0,0.0,,340.0
1, 1,1100.0,19.0,0.0,0.0,5.6,-2.0,45.0,,1.0,,,,324.0
1, 1,1100.0,22.0,0.0,0.0,3.7,-3.0,50.0,,1.0,0.0,0.0,,304.0
1, 1,1100.0,25.0,0.0,0.0,5.4,-4.0,50.0,,1.0,,,,321.0
