month, format: day,hour,forecast,6시간적설,습도,강수형태,풍향,6시간강수량,강수확률,일최고기온,하늘상태,3시간기온,일최저기온,풍속
1, 1,200.0,4.0,8.8,21.0,0.0,303.0,,0.0,1.4,1.0,1.4,-5.5,8.8
1, 1,200.0,7.0,5.9,29.0,0.0,295.0,0.0,0.0,4.6,1.0,-0.8,-5.6,5.9
1, 1,200.0,10.0,5.9,39.0,0.0,296.0,,0.0,8.2,1.0,-3.0,,5.9
1, 1,200.0,13.0,5.2,46.0,0.0,290.0,0.0,0.0,,1.0,-4.2,,5.2
1, 1,200.0,16.0,4.2,51.0,0.0,295.0,,10.0,,2.0,-5.4,,4.2
1, 1,200.0,19.0,3.2,51.0,0.0,293.0,0.0,10.0,,2.0,-5.5,,3.2
1, 1,200.0,22.0,3.2,45.0,0.0,279.0,,10.0,,2.0,-3.8,,3.2
1, 1,200.0,25.0,4.5,30.0,0.0,268.0,0.0,10.0,,2.0,1.6,,4.5
1, 1,200.0,28.0,4.9,24.0,0.0,287.0,,10.0,,2.0,3.6,,4.9
1, 1,200.0,31.0,4.3,34.0,0.0,310.0,0.0,0.0,,1.0,1.4,,4.3
1, 1,200.0,34.0,2.9,40.0,0.0,315.0,,0.0,,1.0,-1.8,,2.9
1, 1,200.0,37.0,1.9,44.0,0.0,308.0,0.0,0.0,,1.0,-3.7,,1.9
1, 1,200.0,40.0,1.2,49.0,0.0,296.0,,0.0,,1.0,-4.8,,1.2
1, 1,200.0,43.0,1.2,49.0,0.0,283.0,0.0,0.0,,1.0,-5.5,,1.2
1, 1,200.0,46.0,1.8,40.0,0.0,286.0,,0.0,,1.0,-3.5,,1.8
1, 1,200.0,49.0,2.8,25.0,0.0,281.0,0.0,1.0,,1.0,4.1,,2.8
1, 1,200.0,52.0,2.9,20.0,0.0,294.0,,10.0,,2.0,7.6,,2.9
1, 1,200.0,55.0,2.8,30.0,0.0,307.0,0.0,9.0,,2.0,5.1,,2.8
1, 1,200.0,58.0,1.9,43.0,0.0,285.0,,9.0,,2.0,2.5,,1.9
1, 1,200.0,61.0,1.3,53.0,0.0,308.0,0.0,9.0,,2.0,0.5,,1.3
1, 1,500.0,4.0,5.9,28.0,0.0,295.0,0.0,0.0,4.3,1.0,-0.8,-5.5,5.9
1, 1,500.0,7.0,5.9,39.0,0.0,296.0,,0.0,8.2,1.0,-2.9,-5.6,5.9
1, 1,500.0,10.0,5.2,46.0,0.0,290.0,0.0,0.0,,1.0,-4.2,,5.2
1, 1,500.0,13.0,4.2,51.0,0.0,295.0,,10.0,,2.0,-5.4,,4.2
1, 1,500.0,16.0,3.2,51.0,0.0,293.0,0.0,10.0,,2.0,-5.5,,3.2
1, 1,500.0,19.0,3.2,45.0,0.0,279.0,,10.0,,2.0,-3.8,,3.2
1, 1,500.0,22.0,4.5,30.0,0.0,268.0,0.0,10.0,,2.0,1.6,,4.5
1, 1,500.0,25.0,4.9,24.0,0.0,287.0,,10.0,,2.0,3.6,,4.9
1, 1,500.0,28.0,4.3,34.0,0.0,310.0,0.0,0.0,,1.0,1.4,,4.3
1, 1,500.0,31.0,2.9,40.0,0.0,315.0,,0.0,,1.0,-1.8,,2.9
1, 1,500.0,34.0,1.9,44.0,0.0,308.0,0.0,0.0,,1.0,-3.7,,1.9
1, 1,500.0,37.0,1.2,49.0,0.0,296.0,,0.0,,1.0,-4.8,,1.2
1, 1,500.0,40.0,1.2,49.0,0.0,283.0,0.0,0.0,,1.0,-5.5,,1.2
1, 1,500.0,43.0,1.8,40.0,0.0,286.0,,0.0,,1.0,-3.5,,1.8
1, 1,500.0,46.0,2.8,25.0,0.0,281.0,0.0,1.0,,1.0,4.1,,2.8
1, 1,500.0,49.0,2.9,20.0,0.0,294.0,,10.0,,2.0,7.6,,2.9
1, 1,500.0,52.0,2.8,30.0,0.0,307.0,0.0,9.0,,2.0,5.1,,2.8
1, 1,500.0,55.0,1.9,43.0,0.0,285.0,,9.0,,2.0,2.5,,1.9
1, 1,500.0,58.0,1.3,53.0,0.0,308.0,0.0,9.0,,2.0,0.5,,1.3
1, 1,800.0,4.0,6.4,35.0,0.0,294.0,,0.0,3.7,1.0,-3.6,-6.3,6.4
1, 1,800.0,7.0,5.4,41.0,0.0,299.0,0.0,0.0,8.6,1.0,-4.1,-6.1,5.4
1, 1,800.0,10.0,3.5,46.0,0.0,295.0,,0.0,,1.0,-5.1,,3.5
1, 1,800.0,13.0,3.4,47.0,0.0,293.0,0.0,10.0,,2.0,-5.3,,3.4
1, 1,800.0,16.0,4.4,42.0,0.0,271.0,,10.0,,2.0,-3.6,,4.4
1, 1,800.0,19.0,5.7,27.0,0.0,288.0,0.0,10.0,,2.0,1.8,,5.7
1, 1,800.0,22.0,6.2,25.0,0.0,309.0,,10.0,,2.0,2.8,,6.2
1, 1,800.0,25.0,5.3,35.0,0.0,308.0,0.0,0.0,,1.0,0.3,,5.3
1, 1,800.0,28.0,3.3,40.0,0.0,305.0,,0.0,,1.0,-2.0,,3.3
1, 1,800.0,31.0,2.2,45.0,0.0,302.0,0.0,0.0,,1.0,-3.9,,2.2
1, 1,800.0,34.0,1.2,50.0,0.0,291.0,,0.0,,1.0,-4.9,,1.2
1, 1,800.0,37.0,1.2,50.0,0.0,288.0,0.0,0.0,,1.0,-5.7,,1.2
1, 1,800.0,40.0,1.8,40.0,0.0,285.0,,0.0,,1.0,-2.9,,1.8
1, 1,800.0,43.0,2.2,25.0,0.0,294.0,0.0,1.0,,1.0,5.3,,2.2
1, 1,800.0,46.0,3.0,20.0,0.0,292.0,,10.0,,2.0,7.6,,3.0
1, 1,800.0,49.0,2.9,30.0,0.0,294.0,0.0,19.0,,2.0,5.1,,2.9
1, 1,800.0,52.0,1.3,43.0,0.0,291.0,,19.0,,3.0,2.3,,1.3
1, 1,800.0,55.0,0.9,54.0,0.0,302.0,0.0,19.0,,3.0,0.5,,0.9
1, 1,1100.0,4.0,5.4,41.0,0.0,299.0,0.0,0.0,3.7,1.0,-4.1,-6.3,5.4
1, 1,1100.0,7.0,3.5,46.0,0.0,295.0,,0.0,8.6,1.0,-5.1,-6.1,3.5
1, 1,1100.0,10.0,3.4,47.0,0.0,293.0,0.0,10.0,,2.0,-5.3,,3.4
1, 1,1100.0,13.0,4.4,42.0,0.0,271.0,,10.0,,2.0,-3.6,,4.4
1, 1,1100.0,16.0,5.7,27.0,0.0,288.0,0.0,10.0,,2.0,1.8,,5.7
1, 1,1100.0,19.0,6.2,25.0,0.0,309.0,,10.0,,2.0,2.8,,6.2
1, 1,1100.0,22.0,5.3,35.0,0.0,308.0,0.0,0.0,,1.0,0.3,,5.3
1, 1,1100.0,25.0,3.3,40.0,0.0,305.0,,0.0,,1.0,-2.0,,3.3
1, 1,1100.0,28.0,2.2,45.0,0.0,302.0,0.0,0.0,,1.0,-3.9,,2.2
1, 1,1100.0,31.0,1.2,50.0,0.0,291.0,,0.0,,1.0,-4.9,,1.2
1, 1,1100.0,34.0,1.2,50.0,0.0,288.0,0.0,0.0,,1.0,-5.7,,1.2
1, 1,1100.0,37.0,1.8,40.0,0.0,285.0,,0.0,,1.0,-2.9,,1.8
1, 1,1100.0,40.0,2.2,25.0,0.0,294.0,0.0,1.0,,1.0,5.3,,2.2
1, 1,1100.0,43.0,3.0,20.0,0.0,292.0,,10.0,,2.0,7.6,,3.0
1, 1,1100.0,46.0,2.9,30.0,0.0,294.0,0.0,19.0,,2.0,5.1,,2.9
1, 1,1100.0,49.0,1.3,43.0,0.0,291.0,,19.0,,3.0,2.3,,1.3
1, 1,1100.0,52.0,0.9,54.0,0.0,302.0,0.0,19.0,,3.0,0.5,,0.9
1, 1,1400.0,4.0,3.5,46.0,0.0,295.0,,0.0,3.7,1.0,-5.0,-6.3,3.5
1, 1,1400.0,7.0,3.4,47.0,0.0,293.0,0.0,10.0,8.6,2.0,-5.6,-6.1,3.4
1, 1,1400.0,10.0,4.4,42.0,0.0,271.0,,10.0,,2.0,-3.6,,4.4
1, 1,1400.0,13.0,5.7,27.0,0.0,288.0,0.0,10.0,,2.0,1.8,,5.7
1, 1,1400.0,16.0,6.2,25.0,0.0,309.0,,10.0,,2.0,2.8,,6.2
1, 1,1400.0,19.0,5.3,35.0,0.0,308.0,0.0,0.0,,1.0,0.3,,5.3
1, 1,1400.0,22.0,3.3,40.0,0.0,305.0,,0.0,,1.0,-2.0,,3.3
1, 1,1400.0,25.0,2.2,45.0,0.0,302.0,0.0,0.0,,1.0,-3.9,,2.2
1, 1,1400.0,28.0,1.2,50.0,0.0,291.0,,0.0,,1.0,-4.9,,1.2
1, 1,1400.0,31.0,1.2,50.0,0.0,287.0,0.0,0.0,,1.0,-5.7,,1.2
1, 1,1400.0,34.0,1.8,40.0,0.0,285.0,,0.0,,1.0,-2.9,,1.8
1, 1,1400.0,37.0,2.2,25.0,0.0,294.0,0.0,1.0,,1.0,5.3,,2.2
1, 1,1400.0,40.0,3.0,20.0,0.0,292.0,,10.0,,2.0,7.6,,3.0
1, 1,1400.0,43.0,2.9,30.0,0.0,294.0,0.0,9.0,,2.0,5.1,,2.9
1, 1,1400.0,46.0,1.3,43.0,0.0,291.0,,9.0,,2.0,2.3,,1.3
1, 1,1400.0,49.0,0.9,54.0,0.0,302.0,0.0,9.0,,2.0,0.5,,0.9
1, 1,1700.0,4.0,3.4,47.0,0.0,293.0,0.0,10.0,3.7,2.0,-5.6,-6.3,3.4
1, 1,1700.0,7.0,4.4,42.0,0.0,271.0,,10.0,8.6,2.0,-3.6,-6.1,4.4
1, 1,1700.0,10.0,5.7,27.0,0.0,288.0,0.0,10.0,,2.0,1.8,,5.7
1, 1,1700.0,13.0,6.2,25.0,0.0,309.0,,10.0,,2.0,2.8,,6.2
1, 1,1700.0,16.0,5.3,35.0,0.0,308.0,0.0,0.0,,1.0,0.3,,5.3
1, 1,1700.0,19.0,3.3,40.0,0.0,305.0,,0.0,,1.0,-2.0,,3.3
1, 1,1700.0,22.0,2.2,45.0,0.0,302.0,0.0,0.0,,1.0,-3.9,,2.2
1, 1,1700.0,25.0,1.2,50.0,0.0,291.0,,0.0,,1.0,-4.9,,1.2
1, 1,1700.0,28.0,1.2,50.0,0.0,287.0,0.0,0.0,,1.0,-5.7,,1.2
1, 1,1700.0,31.0,1.8,40.0,0.0,285.0,,0.0,,1.0,-2.9,,1.8
1, 1,1700.0,34.0,2.2,25.0,0.0,294.0,0.0,1.0,,1.0,5.3,,2.2
1, 1,1700.0,37.0,3.0,20.0,0.0,292.0,,10.0,,2.0,7.6,,3.0
1, 1,1700.0,40.0,2.9,30.0,0.0,294.0,0.0,9.0,,2.0,5.1,,2.9
1, 1,1700.0,43.0,1.3,43.0,0.0,291.0,,9.0,,2.0,2.3,,1.3
1, 1,1700.0,46.0,0.9,54.0,0.0,302.0,0.0,9.0,,2.0,0.5,,0.9
1, 1,2000.0,4.0,4.4,42.0,0.0,271.0,,10.0,4.4,2.0,-3.8,-6.0,4.4
1, 1,2000.0,7.0,5.8,27.0,0.0,289.0,0.0,10.0,8.6,2.0,1.6,-2.2,5.8
1, 1,2000.0,10.0,6.9,25.0,0.0,308.0,,10.0,13.4,2.0,2.7,,6.9
1, 1,2000.0,13.0,6.0,35.0,0.0,308.0,0.0,0.0,,1.0,0.3,,6.0
1, 1,2000.0,16.0,3.9,40.0,0.0,305.0,,0.0,,1.0,-2.0,,3.9
1, 1,2000.0,19.0,2.2,45.0,0.0,302.0,0.0,0.0,,1.0,-4.0,,2.2
1, 1,2000.0,22.0,1.2,50.0,0.0,293.0,,0.0,,1.0,-4.8,,1.2
1, 1,2000.0,25.0,1.2,49.0,0.0,288.0,0.0,0.0,,1.0,-5.7,,1.2
