month, format: day,hour,forecast,습도,일최고기온,풍향,3시간기온,하늘상태,풍속,6시간적설,일최저기온,강수확률,6시간강수량,강수형태
1, 1,200.0,4.0,0.0,12.0,272.0,11.7,,2.3,,0.2,0.0,,0.0
1, 1,200.0,7.0,0.0,14.7,249.0,7.0,,1.9,0.0,2.8,10.0,0.0,0.0
1, 1,200.0,10.0,0.0,15.7,248.0,4.9,,0.8,,,20.0,,0.0
1, 1,200.0,13.0,0.0,,338.0,2.6,,0.6,0.0,,20.0,0.0,0.0
1, 1,200.0,16.0,0.0,,264.0,0.9,,1.2,,,20.0,,0.0
1, 1,200.0,19.0,0.0,,269.0,0.3,,0.8,0.0,,20.0,0.0,0.0
1, 1,200.0,22.0,0.0,,300.0,2.8,,0.7,,,20.0,,0.0
1, 1,200.0,25.0,0.0,,236.0,10.8,,1.6,0.0,,20.0,0.0,0.0
1, 1,200.0,28.0,0.0,,242.0,14.7,,2.9,,,20.0,,0.0
1, 1,200.0,31.0,0.0,,255.0,9.8,,1.7,0.0,,20.0,0.0,0.0
1, 1,200.0,34.0,0.0,,233.0,6.7,,1.0,,,10.0,,0.0
1, 1,200.0,37.0,0.0,,247.0,4.6,,0.8,0.0,,10.0,0.0,0.0
1, 1,200.0,40.0,0.0,,254.0,3.8,,0.8,,,10.0,,0.0
1, 1,200.0,43.0,0.0,,255.0,3.6,,0.7,0.0,,10.0,0.0,0.0
1, 1,200.0,46.0,0.0,,308.0,7.0,,0.7,,,0.0,,0.0
1, 1,200.0,49.0,0.0,,310.0,13.5,,2.9,0.0,,0.0,0.0,0.0
1, 1,200.0,52.0,0.0,,306.0,15.2,,2.4,,,0.0,,0.0
1, 1,200.0,55.0,0.0,,301.0,10.9,,2.3,0.0,,0.0,0.0,0.0
1, 1,200.0,58.0,0.0,,289.0,8.1,,1.0,,,0.0,,0.0
1, 1,200.0,61.0,0.0,,312.0,5.5,,0.9,0.0,,0.0,0.0,0.0
1, 1,500.0,4.0,0.0,14.7,249.0,7.0,,1.9,0.0,0.2,10.0,0.0,0.0
1, 1,500.0,7.0,0.0,15.7,248.0,4.9,,0.8,,2.8,20.0,,0.0
1, 1,500.0,10.0,0.0,,338.0,2.6,,0.6,0.0,,20.0,0.0,0.0
1, 1,500.0,13.0,0.0,,264.0,0.9,,1.2,,,20.0,,0.0
1, 1,500.0,16.0,0.0,,269.0,0.3,,0.8,0.0,,20.0,0.0,0.0
1, 1,500.0,19.0,0.0,,300.0,2.8,,0.7,,,20.0,,0.0
1, 1,500.0,22.0,0.0,,236.0,10.8,,1.6,0.0,,20.0,0.0,0.0
1, 1,500.0,25.0,0.0,,242.0,14.7,,2.9,,,20.0,,0.0
1, 1,500.0,28.0,0.0,,255.0,9.8,,1.7,0.0,,20.0,0.0,0.0
1, 1,500.0,31.0,0.0,,233.0,6.7,,1.0,,,10.0,,0.0
1, 1,500.0,34.0,0.0,,247.0,4.6,,0.8,0.0,,10.0,0.0,0.0
1, 1,500.0,37.0,0.0,,254.0,3.8,,0.8,,,10.0,,0.0
