month, format: day,hour,forecast,일최고기온,6시간강수량,하늘상태,풍속,강수확률,풍향,6시간적설,일최저기온,습도,강수형태,3시간기온
1, 1,200.0,4.0,12.2,,2.0,1.5,11.0,298.0,,2.7,38.0,0.0,12.2
1, 1,200.0,7.0,9.1,0.0,1.0,1.5,0.0,286.0,0.0,1.2,56.0,0.0,9.1
1, 1,200.0,10.0,6.9,,1.0,1.5,0.0,275.0,,,68.0,0.0,6.9
1, 1,200.0,13.0,5.2,0.0,2.0,0.9,10.0,287.0,0.0,,73.0,0.0,5.2
1, 1,200.0,16.0,3.5,,2.0,0.9,10.0,288.0,,,75.0,0.0,3.5
1, 1,200.0,19.0,3.1,0.0,3.0,0.9,21.0,303.0,0.0,,75.0,0.0,3.1
1, 1,200.0,22.0,5.4,,3.0,0.8,21.0,291.0,,,70.0,0.0,5.4
1, 1,200.0,25.0,11.9,0.0,2.0,0.9,10.0,244.0,0.0,,52.0,0.0,11.9
1, 1,200.0,28.0,13.2,,1.0,2.5,0.0,285.0,,,45.0,0.0,13.2
1, 1,200.0,31.0,11.2,0.0,1.0,2.6,0.0,244.0,0.0,,60.0,0.0,11.2
1, 1,200.0,34.0,8.6,,1.0,1.0,0.0,298.0,,,70.0,0.0,8.6
1, 1,200.0,37.0,6.6,0.0,1.0,1.0,0.0,309.0,0.0,,72.0,0.0,6.6
1, 1,200.0,40.0,4.0,,1.0,1.0,0.0,306.0,,,68.0,0.0,4.0
1, 1,200.0,43.0,2.1,0.0,1.0,1.0,0.0,301.0,0.0,,65.0,0.0,2.1
1, 1,200.0,46.0,4.3,,1.0,1.5,0.0,297.0,,,55.0,0.0,4.3
1, 1,200.0,49.0,9.5,0.0,1.0,2.5,0.0,300.0,0.0,,35.0,0.0,9.5
1, 1,200.0,52.0,11.2,,1.0,2.5,0.0,301.0,,,32.0,0.0,11.2
1, 1,200.0,55.0,8.6,0.0,1.0,1.6,0.0,292.0,0.0,,30.0,0.0,8.6
1, 1,200.0,58.0,6.4,,1.0,1.0,0.0,289.0,,,45.0,0.0,6.4
1, 1,200.0,61.0,4.7,0.0,1.0,0.9,0.0,290.0,0.0,,49.0,0.0,4.7
1, 1,500.0,4.0,9.1,0.0,1.0,1.5,0.0,286.0,0.0,2.7,56.0,0.0,9.1
1, 1,500.0,7.0,6.9,,1.0,1.5,0.0,275.0,,1.2,68.0,0.0,6.9
1, 1,500.0,10.0,5.2,0.0,2.0,0.9,10.0,287.0,0.0,,73.0,0.0,5.2
1, 1,500.0,13.0,3.5,,2.0,0.9,10.0,288.0,,,75.0,0.0,3.5
1, 1,500.0,16.0,3.1,0.0,3.0,0.9,21.0,303.0,0.0,,75.0,0.0,3.1
1, 1,500.0,19.0,5.4,,3.0,0.8,21.0,291.0,,,70.0,0.0,5.4
1, 1,500.0,22.0,11.9,0.0,2.0,0.9,10.0,244.0,0.0,,52.0,0.0,11.9
1, 1,500.0,25.0,13.2,,1.0,2.5,0.0,285.0,,,45.0,0.0,13.2
1, 1,500.0,28.0,11.2,0.0,1.0,2.6,0.0,244.0,0.0,,60.0,0.0,11.2
1, 1,500.0,31.0,8.6,,1.0,1.0,0.0,298.0,,,70.0,0.0,8.6
1, 1,500.0,34.0,6.6,0.0,1.0,1.0,0.0,309.0,0.0,,72.0,0.0,6.6
1, 1,500.0,37.0,4.0,,1.0,1.0,0.0,306.0,,,68.0,0.0,4.0
1, 1,500.0,40.0,2.1,0.0,1.0,1.0,0.0,301.0,0.0,,65.0,0.0,2.1
1, 1,500.0,43.0,4.3,,1.0,1.5,0.0,297.0,,,55.0,0.0,4.3
1, 1,500.0,46.0,9.5,0.0,1.0,2.5,0.0,300.0,0.0,,35.0,0.0,9.5
1, 1,500.0,49.0,11.2,,1.0,2.5,0.0,301.0,,,32.0,0.0,11.2
1, 1,500.0,52.0,8.6,0.0,1.0,1.6,0.0,292.0,0.0,,30.0,0.0,8.6
1, 1,500.0,55.0,6.4,,1.0,1.0,0.0,289.0,,,45.0,0.0,6.4
1, 1,500.0,58.0,4.7,0.0,1.0,0.9,0.0,290.0,0.0,,49.0,0.0,4.7
1, 1,800.0,4.0,7.5,,1.0,0.9,0.0,277.0,,3.5,62.0,0.0,7.5
1, 1,800.0,7.0,4.7,0.0,2.0,0.9,10.0,272.0,0.0,0.9,60.0,0.0,4.7
1, 1,800.0,10.0,4.2,,2.0,0.9,10.0,280.0,,,68.0,0.0,4.2
1, 1,800.0,13.0,3.9,0.0,3.0,1.0,20.0,324.0,0.0,,73.0,0.0,3.9
1, 1,800.0,16.0,6.4,,3.0,0.8,20.0,244.0,,,68.0,0.0,6.4
1, 1,800.0,19.0,12.3,0.0,2.0,0.9,10.0,216.0,0.0,,53.0,0.0,12.3
1, 1,800.0,22.0,13.5,,1.0,2.4,0.0,292.0,,,52.0,0.0,13.5
1, 1,800.0,25.0,11.2,0.0,1.0,2.6,0.0,265.0,0.0,,62.0,0.0,11.2
1, 1,800.0,28.0,9.0,,1.0,1.4,0.0,312.0,,,60.0,0.0,9.0
1, 1,800.0,31.0,6.7,0.0,1.0,1.5,0.0,301.0,0.0,,58.0,0.0,6.7
1, 1,800.0,34.0,4.6,,1.0,1.5,0.0,309.0,,,54.0,0.0,4.6
1, 1,800.0,37.0,2.9,0.0,1.0,1.5,0.0,313.0,0.0,,56.0,0.0,2.9
1, 1,800.0,40.0,3.8,,1.0,1.4,0.0,298.0,,,52.0,0.0,3.8
1, 1,800.0,43.0,9.6,0.0,1.0,2.1,0.0,303.0,0.0,,34.0,0.0,9.6
1, 1,800.0,46.0,11.1,,1.0,2.6,0.0,302.0,,,30.0,0.0,11.1
1, 1,800.0,49.0,9.6,0.0,1.0,2.1,0.0,291.0,0.0,,38.0,0.0,9.6
1, 1,800.0,52.0,7.5,,1.0,1.4,0.0,295.0,,,44.0,0.0,7.5
1, 1,800.0,55.0,5.1,0.0,1.0,0.9,0.0,287.0,0.0,,49.0,0.0,5.1
1, 1,1100.0,4.0,4.6,0.0,2.0,0.9,10.0,272.0,0.0,3.5,60.0,0.0,4.6
1, 1,1100.0,7.0,4.1,,2.0,0.9,10.0,280.0,,0.9,68.0,0.0,4.1
1, 1,1100.0,10.0,3.8,0.0,3.0,1.0,20.0,324.0,0.0,,73.0,0.0,3.8
1, 1,1100.0,13.0,6.4,,3.0,0.8,20.0,244.0,,,68.0,0.0,6.4
1, 1,1100.0,16.0,12.3,0.0,2.0,0.9,10.0,216.0,0.0,,53.0,0.0,12.3
1, 1,1100.0,19.0,13.5,,1.0,2.4,0.0,292.0,,,52.0,0.0,13.5
1, 1,1100.0,22.0,11.2,0.0,1.0,2.6,0.0,265.0,0.0,,62.0,0.0,11.2
1, 1,1100.0,25.0,9.0,,1.0,1.4,0.0,312.0,,,60.0,0.0,9.0
1, 1,1100.0,28.0,6.7,0.0,1.0,1.5,0.0,301.0,0.0,,58.0,0.0,6.7
1, 1,1100.0,31.0,4.6,,1.0,1.5,0.0,309.0,,,54.0,0.0,4.6
1, 1,1100.0,34.0,2.9,0.0,1.0,1.5,0.0,313.0,0.0,,56.0,0.0,2.9
1, 1,1100.0,37.0,3.8,,1.0,1.4,0.0,298.0,,,52.0,0.0,3.8
1, 1,1100.0,40.0,9.6,0.0,1.0,2.1,0.0,303.0,0.0,,34.0,0.0,9.6
1, 1,1100.0,43.0,11.1,,1.0,2.6,0.0,302.0,,,30.0,0.0,11.1
1, 1,1100.0,46.0,9.6,0.0,1.0,2.1,0.0,291.0,0.0,,38.0,0.0,9.6
1, 1,1100.0,49.0,7.5,,1.0,1.4,0.0,295.0,,,44.0,0.0,7.5
1, 1,1100.0,52.0,5.1,0.0,1.0,0.9,0.0,287.0,0.0,,49.0,0.0,5.1
1, 1,1400.0,4.0,4.1,,2.0,0.9,10.0,281.0,,3.5,68.0,0.0,4.1
1, 1,1400.0,7.0,3.8,0.0,3.0,1.0,20.0,323.0,0.0,0.9,73.0,0.0,3.8
