month, format: day,hour,forecast,풍속,하늘상태,6시간적설,강수형태,풍향,3시간기온,강수확률,일최저기온,습도,일최고기온,6시간강수량
1, 1,200.0,4.0,,1.0,,0.0,314.0,6.0,0.0,0.0,20.0,6.0,
1, 1,200.0,7.0,0.0,1.0,0.0,0.0,298.0,3.0,0.0,-2.0,25.0,8.0,0.0
1, 1,200.0,10.0,,1.0,,0.0,286.0,2.0,0.0,,25.0,6.0,
1, 1,200.0,13.0,0.0,1.0,0.0,0.0,312.0,1.0,0.0,,35.0,,0.0
1, 1,200.0,16.0,,1.0,,0.0,324.0,1.0,0.0,,45.0,,
1, 1,200.0,19.0,0.0,1.0,0.0,0.0,308.0,1.0,0.0,,55.0,,0.0
1, 1,200.0,22.0,,1.0,,0.0,309.0,3.0,0.0,,50.0,,
1, 1,200.0,25.0,0.0,1.0,0.0,0.0,318.0,6.0,0.0,,30.0,,0.0
1, 1,200.0,28.0,,1.0,,0.0,304.0,8.0,0.0,,25.0,,
1, 1,200.0,31.0,0.0,1.0,0.0,0.0,256.0,4.0,0.0,,25.0,,0.0
1, 1,200.0,34.0,,2.0,,0.0,246.0,2.0,10.0,,25.0,,
1, 1,200.0,37.0,0.0,2.0,0.0,0.0,284.0,2.0,10.0,,30.0,,0.0
1, 1,200.0,40.0,,3.0,,0.0,355.0,1.0,20.0,,30.0,,
1, 1,200.0,43.0,0.0,3.0,0.0,0.0,302.0,0.0,20.0,,35.0,,0.0
1, 1,200.0,46.0,,2.0,,0.0,318.0,0.0,10.0,,30.0,,
1, 1,200.0,49.0,0.0,1.0,0.0,0.0,322.0,4.0,0.0,,20.0,,0.0
1, 1,200.0,52.0,,1.0,,0.0,332.0,5.0,0.0,,20.0,,
1, 1,200.0,55.0,0.0,1.0,0.0,0.0,305.0,2.0,0.0,,25.0,,0.0
1, 1,200.0,58.0,,1.0,,0.0,302.0,1.0,0.0,,35.0,,
1, 1,200.0,61.0,0.0,1.0,0.0,0.0,311.0,-1.0,0.0,,35.0,,0.0
1, 1,500.0,4.0,0.0,1.0,0.0,0.0,298.0,3.0,0.0,0.0,25.0,8.0,0.0
1, 1,500.0,7.0,,1.0,,0.0,286.0,2.0,0.0,-2.0,25.0,6.0,
1, 1,500.0,10.0,0.0,1.0,0.0,0.0,312.0,1.0,0.0,,35.0,,0.0
1, 1,500.0,13.0,,1.0,,0.0,324.0,1.0,0.0,,45.0,,
1, 1,500.0,16.0,0.0,1.0,0.0,0.0,308.0,1.0,0.0,,55.0,,0.0
1, 1,500.0,19.0,,1.0,,0.0,309.0,3.0,0.0,,50.0,,
1, 1,500.0,22.0,0.0,1.0,0.0,0.0,318.0,6.0,0.0,,30.0,,0.0
1, 1,500.0,25.0,,1.0,,0.0,304.0,8.0,0.0,,25.0,,
1, 1,500.0,28.0,0.0,1.0,0.0,0.0,256.0,4.0,0.0,,25.0,,0.0
1, 1,500.0,31.0,,2.0,,0.0,246.0,2.0,10.0,,25.0,,
1, 1,500.0,34.0,0.0,2.0,0.0,0.0,284.0,2.0,10.0,,30.0,,0.0
1, 1,500.0,37.0,,3.0,,0.0,355.0,1.0,20.0,,30.0,,
1, 1,500.0,40.0,0.0,3.0,0.0,0.0,302.0,0.0,20.0,,35.0,,0.0
