month, format: day,hour,forecast,강수확률,풍향,강수형태,6시간강수량,하늘상태,습도,일최고기온,풍속,6시간적설,일최저기온,3시간기온
1, 1,200.0,4.0,5.0,291.0,0.0,,2.0,35.0,5.0,6.0,,-2.0,5.0
1, 1,200.0,7.0,1.0,293.0,0.0,0.0,1.0,45.0,6.0,5.8,0.0,-1.0,1.0
1, 1,200.0,10.0,0.0,295.0,0.0,,1.0,45.0,7.0,6.5,,,0.0
1, 1,200.0,13.0,0.0,293.0,0.0,0.0,1.0,45.0,,7.5,0.0,,0.0
1, 1,200.0,16.0,-1.0,304.0,0.0,,1.0,45.0,,7.3,,,-1.0
1, 1,200.0,19.0,-1.0,307.0,0.0,0.0,1.0,45.0,,6.9,0.0,,-1.0
1, 1,200.0,22.0,0.0,302.0,0.0,,1.0,40.0,,5.7,,,0.0
1, 1,200.0,25.0,4.0,300.0,0.0,0.0,1.0,25.0,,5.1,0.0,,4.0
1, 1,200.0,28.0,5.0,308.0,0.0,,1.0,20.0,,5.4,,,5.0
1, 1,200.0,31.0,3.0,294.0,0.0,0.0,1.0,25.0,,4.6,0.0,,3.0
1, 1,200.0,34.0,2.0,299.0,0.0,,1.0,30.0,,5.5,,,2.0
1, 1,200.0,37.0,0.0,305.0,0.0,0.0,1.0,35.0,,6.7,0.0,,0.0
1, 1,200.0,40.0,0.0,310.0,0.0,,1.0,45.0,,6.8,,,0.0
1, 1,200.0,43.0,0.0,311.0,0.0,0.0,1.0,40.0,,5.8,0.0,,0.0
1, 1,200.0,46.0,0.0,307.0,0.0,,1.0,35.0,,4.8,,,0.0
1, 1,200.0,49.0,5.0,311.0,0.0,0.0,1.0,25.0,,4.9,0.0,,5.0
1, 1,200.0,52.0,7.0,308.0,0.0,,1.0,20.0,,3.7,,,7.0
1, 1,200.0,55.0,4.0,274.0,0.0,0.0,1.0,30.0,,1.5,0.0,,4.0
1, 1,200.0,58.0,2.0,279.0,0.0,,1.0,35.0,,1.3,,,2.0
1, 1,200.0,61.0,1.0,274.0,0.0,0.0,1.0,35.0,,1.5,0.0,,1.0
1, 1,500.0,4.0,1.0,293.0,0.0,0.0,1.0,45.0,6.0,5.8,0.0,-2.0,1.0
1, 1,500.0,7.0,0.0,295.0,0.0,,1.0,45.0,7.0,6.5,,-1.0,0.0
1, 1,500.0,10.0,0.0,293.0,0.0,0.0,1.0,45.0,,7.5,0.0,,0.0
1, 1,500.0,13.0,-1.0,304.0,0.0,,1.0,45.0,,7.3,,,-1.0
1, 1,500.0,16.0,-1.0,307.0,0.0,0.0,1.0,45.0,,6.9,0.0,,-1.0
1, 1,500.0,19.0,0.0,302.0,0.0,,1.0,40.0,,5.7,,,0.0
1, 1,500.0,22.0,4.0,300.0,0.0,0.0,1.0,25.0,,5.1,0.0,,4.0
1, 1,500.0,25.0,5.0,308.0,0.0,,1.0,20.0,,5.4,,,5.0
1, 1,500.0,28.0,3.0,294.0,0.0,0.0,1.0,25.0,,4.6,0.0,,3.0
1, 1,500.0,31.0,2.0,299.0,0.0,,1.0,30.0,,5.5,,,2.0
1, 1,500.0,34.0,0.0,305.0,0.0,0.0,1.0,35.0,,6.7,0.0,,0.0
1, 1,500.0,37.0,0.0,310.0,0.0,,1.0,45.0,,6.8,,,0.0
1, 1,500.0,40.0,0.0,311.0,0.0,0.0,1.0,40.0,,5.8,0.0,,0.0
1, 1,500.0,43.0,0.0,307.0,0.0,,1.0,35.0,,4.8,,,0.0
1, 1,500.0,46.0,5.0,311.0,0.0,0.0,1.0,25.0,,4.9,0.0,,5.0
1, 1,500.0,49.0,7.0,308.0,0.0,,1.0,20.0,,3.7,,,7.0
1, 1,500.0,52.0,4.0,274.0,0.0,0.0,1.0,30.0,,1.5,0.0,,4.0
1, 1,500.0,55.0,2.0,279.0,0.0,,1.0,35.0,,1.3,,,2.0
1, 1,500.0,58.0,1.0,274.0,0.0,0.0,1.0,35.0,,1.5,0.0,,1.0
1, 1,800.0,4.0,0.0,288.0,0.0,,1.0,45.0,6.0,4.9,,-2.0,0.0
1, 1,800.0,7.0,0.0,292.0,0.0,0.0,1.0,45.0,7.0,5.7,0.0,-1.0,0.0
1, 1,800.0,10.0,-1.0,303.0,0.0,,1.0,45.0,,6.2,,,-1.0
1, 1,800.0,13.0,-1.0,306.0,0.0,0.0,1.0,45.0,,6.0,0.0,,-1.0
1, 1,800.0,16.0,0.0,298.0,0.0,,1.0,40.0,,4.2,,,0.0
1, 1,800.0,19.0,4.0,305.0,0.0,0.0,1.0,25.0,,4.4,0.0,,4.0
1, 1,800.0,22.0,5.0,310.0,0.0,,1.0,20.0,,5.0,,,5.0
1, 1,800.0,25.0,3.0,288.0,0.0,0.0,1.0,30.0,,2.0,0.0,,3.0
1, 1,800.0,28.0,2.0,293.0,0.0,,1.0,30.0,,2.3,,,2.0
1, 1,800.0,31.0,0.0,301.0,0.0,0.0,1.0,30.0,,2.9,0.0,,0.0
1, 1,800.0,34.0,0.0,306.0,0.0,,1.0,35.0,,3.4,,,0.0
1, 1,800.0,37.0,0.0,305.0,0.0,0.0,1.0,35.0,,3.5,0.0,,0.0
1, 1,800.0,40.0,0.0,300.0,0.0,,1.0,25.0,,3.2,,,0.0
1, 1,800.0,43.0,5.0,309.0,0.0,0.0,1.0,20.0,,4.5,0.0,,5.0
1, 1,800.0,46.0,7.0,309.0,0.0,,1.0,20.0,,4.0,,,7.0
1, 1,800.0,49.0,4.0,291.0,0.0,0.0,1.0,30.0,,1.7,0.0,,4.0
