month, format: day,hour,forecast,풍속,하늘상태,3시간기온,6시간강수량,강수확률,6시간적설,강수형태,일최고기온,풍향,일최저기온,습도
1, 1,200.0,4.0,35.0,1.0,7.0,,0.0,,0.0,8.0,292.0,1.0,35.0
1, 1,200.0,7.0,40.0,1.0,4.0,0.0,0.0,0.0,0.0,10.0,299.0,2.0,40.0
1, 1,200.0,10.0,50.0,1.0,2.0,,0.0,,0.0,10.0,300.0,,50.0
1, 1,200.0,13.0,55.0,1.0,2.0,0.0,0.0,0.0,0.0,,295.0,,55.0
1, 1,200.0,16.0,60.0,1.0,1.0,,0.0,,0.0,,298.0,,60.0
1, 1,200.0,19.0,65.0,1.0,1.0,0.0,0.0,0.0,0.0,,306.0,,65.0
1, 1,200.0,22.0,60.0,1.0,3.0,,0.0,,0.0,,292.0,,60.0
1, 1,200.0,25.0,50.0,1.0,7.0,0.0,0.0,0.0,0.0,,286.0,,50.0
1, 1,200.0,28.0,40.0,1.0,10.0,,0.0,,0.0,,288.0,,40.0
1, 1,200.0,31.0,45.0,1.0,7.0,0.0,0.0,0.0,0.0,,289.0,,45.0
1, 1,200.0,34.0,50.0,1.0,5.0,,0.0,,0.0,,290.0,,50.0
1, 1,200.0,37.0,50.0,1.0,4.0,0.0,0.0,0.0,0.0,,287.0,,50.0
1, 1,200.0,40.0,60.0,1.0,3.0,,0.0,,0.0,,290.0,,60.0
1, 1,200.0,43.0,60.0,1.0,3.0,0.0,0.0,0.0,0.0,,294.0,,60.0
1, 1,200.0,46.0,55.0,1.0,4.0,,0.0,,0.0,,290.0,,55.0
1, 1,200.0,49.0,40.0,1.0,8.0,0.0,0.0,0.0,0.0,,291.0,,40.0
1, 1,200.0,52.0,35.0,1.0,10.0,,0.0,,0.0,,297.0,,35.0
1, 1,200.0,55.0,45.0,1.0,8.0,0.0,0.0,0.0,0.0,,301.0,,45.0
1, 1,200.0,58.0,50.0,1.0,5.0,,0.0,,0.0,,301.0,,50.0
1, 1,200.0,61.0,55.0,1.0,4.0,0.0,0.0,0.0,0.0,,301.0,,55.0
