month, format: day,hour,forecast,6시간강수량,6시간적설,일최고기온,강수확률,습도,하늘상태,강수형태,풍속,풍향,3시간기온,일최저기온
1, 1,200.0,4.0,-2.0,,5.0,30.0,40.0,4.0,0.0,2.9,272.0,5.0,-2.0
1, 1,200.0,7.0,-4.0,0.0,5.0,30.0,60.0,4.0,0.0,1.4,309.0,2.0,-4.0
1, 1,200.0,10.0,,,4.0,30.0,70.0,4.0,0.0,1.7,287.0,0.0,
1, 1,200.0,13.0,,0.0,,10.0,65.0,1.0,0.0,2.8,268.0,0.0,
1, 1,200.0,16.0,,,,0.0,65.0,1.0,0.0,3.0,312.0,-1.0,
1, 1,200.0,19.0,,0.0,,30.0,65.0,4.0,0.0,3.4,323.0,-1.0,
1, 1,200.0,22.0,,,,30.0,55.0,4.0,0.0,3.3,315.0,1.0,
1, 1,200.0,25.0,,0.0,,20.0,35.0,3.0,0.0,4.0,314.0,4.0,
1, 1,200.0,28.0,,,,0.0,25.0,1.0,0.0,4.5,312.0,5.0,
1, 1,200.0,31.0,,0.0,,0.0,35.0,1.0,0.0,1.9,309.0,0.0,
1, 1,200.0,34.0,,,,0.0,30.0,1.0,0.0,3.7,299.0,-1.0,
1, 1,200.0,37.0,,0.0,,0.0,35.0,1.0,0.0,5.4,304.0,-3.0,
1, 1,200.0,40.0,,,,30.0,35.0,4.0,0.0,5.3,306.0,-3.0,
1, 1,200.0,43.0,,0.0,,30.0,25.0,4.0,0.0,5.7,309.0,-3.0,
1, 1,200.0,46.0,,,,30.0,30.0,4.0,0.0,5.5,307.0,-2.0,
1, 1,200.0,49.0,,0.0,,0.0,25.0,1.0,0.0,6.3,307.0,2.0,
1, 1,200.0,52.0,,,,10.0,20.0,1.0,0.0,5.1,310.0,4.0,
1, 1,200.0,55.0,,0.0,,20.0,25.0,3.0,0.0,3.6,306.0,1.0,
1, 1,200.0,58.0,,,,20.0,25.0,3.0,0.0,4.2,306.0,0.0,
1, 1,200.0,61.0,,0.0,,20.0,25.0,3.0,0.0,4.5,311.0,-1.0,
1, 1,500.0,4.0,-2.0,0.0,5.0,30.0,60.0,4.0,0.0,1.4,309.0,2.0,-2.0
1, 1,500.0,7.0,-4.0,,4.0,30.0,70.0,4.0,0.0,1.7,287.0,0.0,-4.0
1, 1,500.0,10.0,,0.0,,10.0,65.0,1.0,0.0,2.8,268.0,0.0,
1, 1,500.0,13.0,,,,0.0,65.0,1.0,0.0,3.0,312.0,-1.0,
1, 1,500.0,16.0,,0.0,,30.0,65.0,4.0,0.0,3.4,323.0,-1.0,
1, 1,500.0,19.0,,,,30.0,55.0,4.0,0.0,3.3,315.0,1.0,
1, 1,500.0,22.0,,0.0,,20.0,35.0,3.0,0.0,4.0,314.0,4.0,
1, 1,500.0,25.0,,,,0.0,25.0,1.0,0.0,4.5,312.0,5.0,
1, 1,500.0,28.0,,0.0,,0.0,35.0,1.0,0.0,1.9,309.0,0.0,
1, 1,500.0,31.0,,,,0.0,30.0,1.0,0.0,3.7,299.0,-1.0,
1, 1,500.0,34.0,,0.0,,0.0,35.0,1.0,0.0,5.4,304.0,-3.0,
1, 1,500.0,37.0,,,,30.0,35.0,4.0,0.0,5.3,306.0,-3.0,
1, 1,500.0,40.0,,0.0,,30.0,25.0,4.0,0.0,5.7,309.0,-3.0,
1, 1,500.0,43.0,,,,30.0,30.0,4.0,0.0,5.5,307.0,-2.0,
1, 1,500.0,46.0,,0.0,,0.0,25.0,1.0,0.0,6.3,307.0,2.0,
1, 1,500.0,49.0,,,,10.0,20.0,1.0,0.0,5.1,310.0,4.0,
1, 1,500.0,52.0,,0.0,,20.0,25.0,3.0,0.0,3.6,306.0,1.0,
1, 1,500.0,55.0,,,,20.0,25.0,3.0,0.0,4.2,306.0,0.0,
1, 1,500.0,58.0,,0.0,,20.0,25.0,3.0,0.0,4.5,311.0,-1.0,
1, 1,800.0,4.0,-1.0,,5.0,30.0,65.0,4.0,0.0,1.7,287.0,1.0,-1.0
1, 1,800.0,7.0,-4.0,0.0,4.0,10.0,65.0,1.0,0.0,3.0,270.0,0.0,-4.0
1, 1,800.0,10.0,,,,0.0,70.0,1.0,0.0,3.2,314.0,-1.0,
1, 1,800.0,13.0,,0.0,,30.0,65.0,4.0,0.0,2.9,316.0,-1.0,
1, 1,800.0,16.0,,,,30.0,55.0,4.0,0.0,3.3,314.0,1.0,
1, 1,800.0,19.0,,0.0,,20.0,40.0,3.0,0.0,3.7,299.0,5.0,
1, 1,800.0,22.0,,,,0.0,25.0,1.0,0.0,4.1,315.0,5.0,
1, 1,800.0,25.0,,0.0,,0.0,30.0,1.0,0.0,1.9,306.0,1.0,
1, 1,800.0,28.0,,,,0.0,30.0,1.0,0.0,3.4,307.0,-1.0,
1, 1,800.0,31.0,,0.0,,0.0,40.0,1.0,0.0,4.4,306.0,-2.0,
1, 1,800.0,34.0,,,,30.0,40.0,4.0,0.0,4.2,297.0,-3.0,
1, 1,800.0,37.0,,0.0,,30.0,25.0,4.0,0.0,5.8,308.0,-3.0,
1, 1,800.0,40.0,,,,30.0,30.0,4.0,0.0,5.9,313.0,-2.0,
1, 1,800.0,43.0,,0.0,,0.0,25.0,1.0,0.0,6.5,311.0,3.0,
1, 1,800.0,46.0,,,,10.0,20.0,1.0,0.0,5.6,308.0,4.0,
1, 1,800.0,49.0,,0.0,,20.0,25.0,3.0,0.0,4.2,301.0,1.0,
1, 1,800.0,52.0,,,,20.0,25.0,3.0,0.0,4.7,305.0,0.0,
1, 1,800.0,55.0,,0.0,,20.0,25.0,3.0,0.0,4.3,311.0,-1.0,
1, 1,1100.0,4.0,-1.0,0.0,5.0,10.0,65.0,1.0,0.0,3.0,270.0,0.0,-1.0
1, 1,1100.0,7.0,-4.0,,4.0,0.0,70.0,1.0,0.0,3.2,314.0,-1.0,-4.0
1, 1,1100.0,10.0,,0.0,,30.0,65.0,4.0,0.0,2.9,316.0,-1.0,
1, 1,1100.0,13.0,,,,30.0,55.0,4.0,0.0,3.3,314.0,1.0,
1, 1,1100.0,16.0,,0.0,,20.0,40.0,3.0,0.0,3.7,299.0,5.0,
1, 1,1100.0,19.0,,,,0.0,25.0,1.0,0.0,4.1,315.0,5.0,
1, 1,1100.0,22.0,,0.0,,0.0,30.0,1.0,0.0,1.9,306.0,1.0,
1, 1,1100.0,25.0,,,,0.0,30.0,1.0,0.0,3.4,307.0,-1.0,
1, 1,1100.0,28.0,,0.0,,0.0,40.0,1.0,0.0,4.4,306.0,-2.0,
1, 1,1100.0,31.0,,,,30.0,40.0,4.0,0.0,4.2,297.0,-3.0,
1, 1,1100.0,34.0,,0.0,,30.0,25.0,4.0,0.0,5.8,308.0,-3.0,
1, 1,1100.0,37.0,,,,30.0,30.0,4.0,0.0,5.9,313.0,-2.0,
1, 1,1100.0,40.0,,0.0,,0.0,25.0,1.0,0.0,6.5,311.0,3.0,
1, 1,1100.0,43.0,,,,10.0,20.0,1.0,0.0,5.6,308.0,4.0,
1, 1,1100.0,46.0,,0.0,,20.0,25.0,3.0,0.0,4.2,301.0,1.0,
