 format: day,hour,forecast,value  location:53_114 Start : 20150101 ,month
 1,200.0,4.0,45.0,1
 1,200.0,7.0,50.0,1
 1,200.0,10.0,60.0,1
 1,200.0,13.0,64.0,1
 1,200.0,16.0,69.0,1
 1,200.0,19.0,74.0,1
 1,200.0,22.0,75.0,1
 1,200.0,25.0,64.0,1
 1,200.0,28.0,49.0,1
 1,200.0,31.0,54.0,1
 1,200.0,34.0,59.0,1
 1,200.0,37.0,69.0,1
 1,200.0,40.0,74.0,1
 1,200.0,43.0,69.0,1
 1,200.0,46.0,53.0,1
 1,200.0,49.0,49.0,1
 1,200.0,52.0,50.0,1
 1,200.0,55.0,55.0,1
 1,200.0,58.0,70.0,1
 1,200.0,61.0,74.0,1
 1,500.0,4.0,50.0,1
 1,500.0,7.0,60.0,1
 1,500.0,10.0,64.0,1
 1,500.0,13.0,69.0,1
 1,500.0,16.0,74.0,1
 1,500.0,19.0,75.0,1
 1,500.0,22.0,64.0,1
 1,500.0,25.0,49.0,1
 1,500.0,28.0,54.0,1
 1,500.0,31.0,59.0,1
 1,500.0,34.0,69.0,1
 1,500.0,37.0,74.0,1
 1,500.0,40.0,69.0,1
 1,500.0,43.0,53.0,1
 1,500.0,46.0,49.0,1
 1,500.0,49.0,50.0,1
 1,500.0,52.0,55.0,1
 1,500.0,55.0,70.0,1
 1,500.0,58.0,74.0,1
 1,800.0,4.0,60.0,1
 1,800.0,7.0,62.0,1
 1,800.0,10.0,68.0,1
 1,800.0,13.0,84.0,1
 1,800.0,16.0,74.0,1
 1,800.0,19.0,60.0,1
 1,800.0,22.0,46.0,1
 1,800.0,25.0,57.0,1
 1,800.0,28.0,64.0,1
 1,800.0,31.0,68.0,1
 1,800.0,34.0,77.0,1
 1,800.0,37.0,88.0,1
 1,800.0,40.0,76.0,1
 1,800.0,43.0,55.0,1
 1,800.0,46.0,50.0,1
 1,800.0,49.0,69.0,1
 1,800.0,52.0,72.0,1
 1,800.0,55.0,81.0,1
 1,1100.0,4.0,62.0,1
 1,1100.0,7.0,68.0,1
 1,1100.0,10.0,84.0,1
 1,1100.0,13.0,74.0,1
 1,1100.0,16.0,60.0,1
 1,1100.0,19.0,46.0,1
 1,1100.0,22.0,57.0,1
 1,1100.0,25.0,64.0,1
 1,1100.0,28.0,68.0,1
 1,1100.0,31.0,77.0,1
 1,1100.0,34.0,88.0,1
 1,1100.0,37.0,76.0,1
 1,1100.0,40.0,55.0,1
 1,1100.0,43.0,50.0,1
 1,1100.0,46.0,69.0,1
 1,1100.0,49.0,72.0,1
 1,1100.0,52.0,81.0,1
 1,1400.0,4.0,67.0,1
 1,1400.0,7.0,84.0,1
 1,1400.0,10.0,74.0,1
 1,1400.0,13.0,60.0,1
 1,1400.0,16.0,46.0,1
 1,1400.0,19.0,57.0,1
 1,1400.0,22.0,64.0,1
 1,1400.0,25.0,68.0,1
 1,1400.0,28.0,77.0,1
 1,1400.0,31.0,88.0,1
 1,1400.0,34.0,76.0,1
 1,1400.0,37.0,55.0,1
 1,1400.0,40.0,50.0,1
 1,1400.0,43.0,69.0,1
 1,1400.0,46.0,72.0,1
 1,1400.0,49.0,81.0,1
 1,1700.0,4.0,84.0,1
 1,1700.0,7.0,74.0,1
 1,1700.0,10.0,60.0,1
 1,1700.0,13.0,46.0,1
 1,1700.0,16.0,57.0,1
 1,1700.0,19.0,64.0,1
 1,1700.0,22.0,68.0,1
 1,1700.0,25.0,77.0,1
 1,1700.0,28.0,88.0,1
 1,1700.0,31.0,76.0,1
 1,1700.0,34.0,55.0,1
 1,1700.0,37.0,50.0,1
 1,1700.0,40.0,69.0,1
 1,1700.0,43.0,72.0,1
 1,1700.0,46.0,81.0,1
 1,2000.0,4.0,75.0,1
 1,2000.0,7.0,65.0,1
 1,2000.0,10.0,50.0,1
 1,2000.0,13.0,50.0,1
 1,2000.0,16.0,65.0,1
 1,2000.0,19.0,75.0,1
 1,2000.0,22.0,79.0,1
 1,2000.0,25.0,85.0,1
 1,2000.0,28.0,75.0,1
 1,2000.0,31.0,60.0,1
 1,2000.0,34.0,55.0,1
 1,2000.0,37.0,70.0,1
 1,2000.0,40.0,80.0,1
 1,2000.0,43.0,85.0,1
 1,2000.0,46.0,85.0,1
 1,2000.0,49.0,85.0,1
 1,2000.0,52.0,85.0,1
 1,2000.0,55.0,65.0,1
 1,2000.0,58.0,55.0,1
 1,2000.0,61.0,70.0,1
 1,2000.0,64.0,80.0,1
 1,2000.0,67.0,85.0,1
 1,2300.0,4.0,65.0,1
 1,2300.0,7.0,50.0,1
 1,2300.0,10.0,50.0,1
 1,2300.0,13.0,65.0,1
 1,2300.0,16.0,75.0,1
 1,2300.0,19.0,79.0,1
 1,2300.0,22.0,85.0,1
 1,2300.0,25.0,75.0,1
 1,2300.0,28.0,60.0,1
 1,2300.0,31.0,55.0,1
 1,2300.0,34.0,70.0,1
 1,2300.0,37.0,80.0,1
 1,2300.0,40.0,85.0,1
 1,2300.0,43.0,85.0,1
 1,2300.0,46.0,85.0,1
 1,2300.0,49.0,85.0,1
 1,2300.0,52.0,65.0,1
 1,2300.0,55.0,55.0,1
 1,2300.0,58.0,70.0,1
 1,2300.0,61.0,80.0,1
 1,2300.0,64.0,85.0,1
 2,200.0,4.0,50.0,1
 2,200.0,7.0,50.0,1
 2,200.0,10.0,65.0,1
 2,200.0,13.0,75.0,1
 2,200.0,16.0,79.0,1
 2,200.0,19.0,85.0,1
 2,200.0,22.0,75.0,1
 2,200.0,25.0,60.0,1
 2,200.0,28.0,55.0,1
 2,200.0,31.0,70.0,1
 2,200.0,34.0,80.0,1
 2,200.0,37.0,85.0,1
 2,200.0,40.0,85.0,1
 2,200.0,43.0,85.0,1
 2,200.0,46.0,85.0,1
 2,200.0,49.0,65.0,1
 2,200.0,52.0,55.0,1
 2,200.0,55.0,70.0,1
 2,200.0,58.0,80.0,1
 2,200.0,61.0,85.0,1
 2,500.0,4.0,50.0,1
 2,500.0,7.0,65.0,1
 2,500.0,10.0,75.0,1
 2,500.0,13.0,79.0,1
 2,500.0,16.0,85.0,1
 2,500.0,19.0,75.0,1
 2,500.0,22.0,60.0,1
 2,500.0,25.0,55.0,1
 2,500.0,28.0,70.0,1
 2,500.0,31.0,80.0,1
 2,500.0,34.0,85.0,1
 2,500.0,37.0,85.0,1
 2,500.0,40.0,85.0,1
 2,500.0,43.0,85.0,1
 2,500.0,46.0,65.0,1
 2,500.0,49.0,55.0,1
 2,500.0,52.0,70.0,1
 2,500.0,55.0,80.0,1
 2,500.0,58.0,85.0,1
 2,800.0,4.0,64.0,1
 2,800.0,7.0,69.0,1
 2,800.0,10.0,78.0,1
 2,800.0,13.0,89.0,1
 2,800.0,16.0,70.0,1
 2,800.0,19.0,60.0,1
 2,800.0,22.0,56.0,1
 2,800.0,25.0,65.0,1
 2,800.0,28.0,78.0,1
 2,800.0,31.0,82.0,1
 2,800.0,34.0,87.0,1
 2,800.0,37.0,87.0,1
 2,800.0,40.0,89.0,1
 2,800.0,43.0,56.0,1
 2,800.0,46.0,57.0,1
 2,800.0,49.0,63.0,1
 2,800.0,52.0,76.0,1
 2,800.0,55.0,79.0,1
 2,1100.0,4.0,69.0,1
 2,1100.0,7.0,78.0,1
 2,1100.0,10.0,89.0,1
