 format: day,hour,forecast,value  location:53_114 Start : 20150101 ,month
 1,200.0,4.0,321.0,1
 1,200.0,7.0,322.0,1
 1,200.0,10.0,321.0,1
 1,200.0,13.0,313.0,1
 1,200.0,16.0,317.0,1
 1,200.0,19.0,327.0,1
 1,200.0,22.0,195.0,1
 1,200.0,25.0,295.0,1
 1,200.0,28.0,348.0,1
 1,200.0,31.0,339.0,1
 1,200.0,34.0,345.0,1
 1,200.0,37.0,350.0,1
 1,200.0,40.0,353.0,1
 1,200.0,43.0,357.0,1
 1,200.0,46.0,135.0,1
 1,200.0,49.0,176.0,1
 1,200.0,52.0,226.0,1
 1,200.0,55.0,219.0,1
 1,200.0,58.0,208.0,1
 1,200.0,61.0,221.0,1
 1,500.0,4.0,322.0,1
 1,500.0,7.0,321.0,1
 1,500.0,10.0,313.0,1
 1,500.0,13.0,317.0,1
 1,500.0,16.0,327.0,1
 1,500.0,19.0,195.0,1
 1,500.0,22.0,295.0,1
 1,500.0,25.0,348.0,1
 1,500.0,28.0,339.0,1
 1,500.0,31.0,345.0,1
 1,500.0,34.0,350.0,1
 1,500.0,37.0,353.0,1
 1,500.0,40.0,357.0,1
 1,500.0,43.0,135.0,1
 1,500.0,46.0,176.0,1
 1,500.0,49.0,226.0,1
 1,500.0,52.0,219.0,1
 1,500.0,55.0,208.0,1
 1,500.0,58.0,221.0,1
 1,800.0,4.0,320.0,1
 1,800.0,7.0,316.0,1
 1,800.0,10.0,332.0,1
 1,800.0,13.0,357.0,1
 1,800.0,16.0,48.0,1
 1,800.0,19.0,358.0,1
 1,800.0,22.0,330.0,1
 1,800.0,25.0,330.0,1
 1,800.0,28.0,340.0,1
 1,800.0,31.0,341.0,1
 1,800.0,34.0,337.0,1
 1,800.0,37.0,340.0,1
 1,800.0,40.0,356.0,1
 1,800.0,43.0,143.0,1
 1,800.0,46.0,176.0,1
 1,800.0,49.0,176.0,1
 1,800.0,52.0,169.0,1
 1,800.0,55.0,164.0,1
 1,1100.0,4.0,316.0,1
 1,1100.0,7.0,332.0,1
 1,1100.0,10.0,357.0,1
 1,1100.0,13.0,48.0,1
 1,1100.0,16.0,358.0,1
 1,1100.0,19.0,330.0,1
 1,1100.0,22.0,330.0,1
 1,1100.0,25.0,340.0,1
 1,1100.0,28.0,341.0,1
 1,1100.0,31.0,337.0,1
 1,1100.0,34.0,340.0,1
 1,1100.0,37.0,356.0,1
 1,1100.0,40.0,143.0,1
 1,1100.0,43.0,176.0,1
 1,1100.0,46.0,176.0,1
 1,1100.0,49.0,169.0,1
 1,1100.0,52.0,164.0,1
 1,1400.0,4.0,332.0,1
 1,1400.0,7.0,357.0,1
 1,1400.0,10.0,48.0,1
 1,1400.0,13.0,358.0,1
 1,1400.0,16.0,330.0,1
 1,1400.0,19.0,330.0,1
 1,1400.0,22.0,340.0,1
 1,1400.0,25.0,341.0,1
 1,1400.0,28.0,337.0,1
 1,1400.0,31.0,340.0,1
 1,1400.0,34.0,356.0,1
 1,1400.0,37.0,143.0,1
 1,1400.0,40.0,176.0,1
 1,1400.0,43.0,176.0,1
 1,1400.0,46.0,169.0,1
 1,1400.0,49.0,164.0,1
 1,1700.0,4.0,357.0,1
 1,1700.0,7.0,48.0,1
 1,1700.0,10.0,358.0,1
 1,1700.0,13.0,330.0,1
 1,1700.0,16.0,330.0,1
 1,1700.0,19.0,340.0,1
 1,1700.0,22.0,341.0,1
 1,1700.0,25.0,337.0,1
 1,1700.0,28.0,340.0,1
 1,1700.0,31.0,356.0,1
 1,1700.0,34.0,143.0,1
 1,1700.0,37.0,176.0,1
 1,1700.0,40.0,176.0,1
 1,1700.0,43.0,169.0,1
 1,1700.0,46.0,164.0,1
 1,2000.0,4.0,342.0,1
 1,2000.0,7.0,12.0,1
 1,2000.0,10.0,335.0,1
 1,2000.0,13.0,335.0,1
 1,2000.0,16.0,341.0,1
 1,2000.0,19.0,336.0,1
 1,2000.0,22.0,344.0,1
 1,2000.0,25.0,341.0,1
 1,2000.0,28.0,120.0,1
 1,2000.0,31.0,147.0,1
 1,2000.0,34.0,178.0,1
 1,2000.0,37.0,179.0,1
 1,2000.0,40.0,167.0,1
 1,2000.0,43.0,165.0,1
 1,2000.0,46.0,168.0,1
 1,2000.0,49.0,187.0,1
 1,2000.0,52.0,200.0,1
 1,2000.0,55.0,244.0,1
