 format: day,hour,forecast,value  location:102_83 Start : 20210101 ,month
 1,200.0,4.0,272.0,1
 1,200.0,7.0,309.0,1
 1,200.0,10.0,287.0,1
 1,200.0,13.0,268.0,1
 1,200.0,16.0,312.0,1
 1,200.0,19.0,323.0,1
 1,200.0,22.0,315.0,1
 1,200.0,25.0,314.0,1
 1,200.0,28.0,312.0,1
 1,200.0,31.0,309.0,1
 1,200.0,34.0,299.0,1
 1,200.0,37.0,304.0,1
 1,200.0,40.0,306.0,1
 1,200.0,43.0,309.0,1
 1,200.0,46.0,307.0,1
 1,200.0,49.0,307.0,1
 1,200.0,52.0,310.0,1
 1,200.0,55.0,306.0,1
 1,200.0,58.0,306.0,1
 1,200.0,61.0,311.0,1
 1,500.0,4.0,309.0,1
 1,500.0,7.0,287.0,1
 1,500.0,10.0,268.0,1
 1,500.0,13.0,312.0,1
 1,500.0,16.0,323.0,1
 1,500.0,19.0,315.0,1
 1,500.0,22.0,314.0,1
 1,500.0,25.0,312.0,1
 1,500.0,28.0,309.0,1
 1,500.0,31.0,299.0,1
 1,500.0,34.0,304.0,1
 1,500.0,37.0,306.0,1
 1,500.0,40.0,309.0,1
 1,500.0,43.0,307.0,1
 1,500.0,46.0,307.0,1
 1,500.0,49.0,310.0,1
 1,500.0,52.0,306.0,1
 1,500.0,55.0,306.0,1
 1,500.0,58.0,311.0,1
 1,800.0,4.0,287.0,1
 1,800.0,7.0,270.0,1
 1,800.0,10.0,314.0,1
 1,800.0,13.0,316.0,1
 1,800.0,16.0,314.0,1
 1,800.0,19.0,299.0,1
 1,800.0,22.0,315.0,1
 1,800.0,25.0,306.0,1
 1,800.0,28.0,307.0,1
 1,800.0,31.0,306.0,1
 1,800.0,34.0,297.0,1
 1,800.0,37.0,308.0,1
 1,800.0,40.0,313.0,1
 1,800.0,43.0,311.0,1
 1,800.0,46.0,308.0,1
 1,800.0,49.0,301.0,1
 1,800.0,52.0,305.0,1
 1,800.0,55.0,311.0,1
 1,1100.0,4.0,270.0,1
 1,1100.0,7.0,314.0,1
 1,1100.0,10.0,316.0,1
 1,1100.0,13.0,314.0,1
 1,1100.0,16.0,299.0,1
 1,1100.0,19.0,315.0,1
 1,1100.0,22.0,306.0,1
 1,1100.0,25.0,307.0,1
 1,1100.0,28.0,306.0,1
 1,1100.0,31.0,297.0,1
 1,1100.0,34.0,308.0,1
 1,1100.0,37.0,313.0,1
 1,1100.0,40.0,311.0,1
 1,1100.0,43.0,308.0,1
 1,1100.0,46.0,301.0,1
 1,1100.0,49.0,305.0,1
 1,1100.0,52.0,311.0,1
 1,1400.0,4.0,314.0,1
 1,1400.0,7.0,316.0,1
 1,1400.0,10.0,314.0,1
 1,1400.0,13.0,299.0,1
 1,1400.0,16.0,315.0,1
 1,1400.0,19.0,306.0,1
 1,1400.0,22.0,307.0,1
 1,1400.0,25.0,306.0,1
 1,1400.0,28.0,297.0,1
 1,1400.0,31.0,308.0,1
 1,1400.0,34.0,313.0,1
 1,1400.0,37.0,311.0,1
 1,1400.0,40.0,308.0,1
 1,1400.0,43.0,301.0,1
 1,1400.0,46.0,305.0,1
 1,1400.0,49.0,311.0,1
 1,1700.0,4.0,316.0,1
 1,1700.0,7.0,314.0,1
 1,1700.0,10.0,299.0,1
 1,1700.0,13.0,315.0,1
 1,1700.0,16.0,306.0,1
 1,1700.0,19.0,307.0,1
 1,1700.0,22.0,306.0,1
 1,1700.0,25.0,297.0,1
 1,1700.0,28.0,308.0,1
 1,1700.0,31.0,313.0,1
 1,1700.0,34.0,311.0,1
 1,1700.0,37.0,308.0,1
 1,1700.0,40.0,301.0,1
 1,1700.0,43.0,305.0,1
 1,1700.0,46.0,311.0,1
 1,2000.0,4.0,316.0,1
 1,2000.0,7.0,304.0,1
 1,2000.0,10.0,308.0,1
 1,2000.0,13.0,295.0,1
 1,2000.0,16.0,301.0,1
 1,2000.0,19.0,313.0,1
 1,2000.0,22.0,298.0,1
 1,2000.0,25.0,308.0,1
 1,2000.0,28.0,314.0,1
 1,2000.0,31.0,309.0,1
 1,2000.0,34.0,308.0,1
 1,2000.0,37.0,302.0,1
 1,2000.0,40.0,307.0,1
 1,2000.0,43.0,304.0,1
 1,2000.0,46.0,305.0,1
 1,2000.0,49.0,315.0,1
 1,2000.0,52.0,322.0,1
 1,2000.0,55.0,333.0,1
 1,2000.0,58.0,338.0,1
 1,2000.0,61.0,333.0,1
 1,2000.0,64.0,286.0,1
 1,2000.0,67.0,275.0,1
 1,2300.0,4.0,304.0,1
 1,2300.0,7.0,308.0,1
 1,2300.0,10.0,295.0,1
 1,2300.0,13.0,301.0,1
 1,2300.0,16.0,313.0,1
 1,2300.0,19.0,298.0,1
 1,2300.0,22.0,308.0,1
 1,2300.0,25.0,314.0,1
 1,2300.0,28.0,309.0,1
 1,2300.0,31.0,308.0,1
 1,2300.0,34.0,302.0,1
 1,2300.0,37.0,307.0,1
 1,2300.0,40.0,304.0,1
 1,2300.0,43.0,305.0,1
 1,2300.0,46.0,315.0,1
 1,2300.0,49.0,322.0,1
 1,2300.0,52.0,333.0,1
 1,2300.0,55.0,338.0,1
 1,2300.0,58.0,333.0,1
 1,2300.0,61.0,286.0,1
 1,2300.0,64.0,275.0,1
 2,200.0,4.0,308.0,1
 2,200.0,7.0,295.0,1
 2,200.0,10.0,301.0,1
 2,200.0,13.0,313.0,1
 2,200.0,16.0,298.0,1
 2,200.0,19.0,308.0,1
 2,200.0,22.0,314.0,1
 2,200.0,25.0,309.0,1
 2,200.0,28.0,308.0,1
 2,200.0,31.0,302.0,1
 2,200.0,34.0,307.0,1
 2,200.0,37.0,304.0,1
 2,200.0,40.0,305.0,1
 2,200.0,43.0,315.0,1
 2,200.0,46.0,322.0,1
 2,200.0,49.0,333.0,1
 2,200.0,52.0,338.0,1
 2,200.0,55.0,333.0,1
 2,200.0,58.0,286.0,1
 2,200.0,61.0,275.0,1
 2,500.0,4.0,295.0,1
 2,500.0,7.0,301.0,1
 2,500.0,10.0,313.0,1
 2,500.0,13.0,298.0,1
 2,500.0,16.0,308.0,1
 2,500.0,19.0,314.0,1
 2,500.0,22.0,309.0,1
 2,500.0,25.0,308.0,1
 2,500.0,28.0,302.0,1
 2,500.0,31.0,307.0,1
 2,500.0,34.0,304.0,1
 2,500.0,37.0,305.0,1
 2,500.0,40.0,315.0,1
 2,500.0,43.0,322.0,1
 2,500.0,46.0,333.0,1
 2,500.0,49.0,338.0,1
 2,500.0,52.0,333.0,1
 2,500.0,55.0,286.0,1
 2,500.0,58.0,275.0,1
 2,800.0,4.0,297.0,1
 2,800.0,7.0,303.0,1
 2,800.0,10.0,307.0,1
 2,800.0,13.0,318.0,1
 2,800.0,16.0,314.0,1
 2,800.0,19.0,313.0,1
 2,800.0,22.0,311.0,1
 2,800.0,25.0,292.0,1
 2,800.0,28.0,285.0,1
 2,800.0,31.0,287.0,1
 2,800.0,34.0,307.0,1
 2,800.0,37.0,313.0,1
 2,800.0,40.0,313.0,1
 2,800.0,43.0,309.0,1
 2,800.0,46.0,325.0,1
 2,800.0,49.0,336.0,1
 2,800.0,52.0,290.0,1
 2,800.0,55.0,302.0,1
 2,1100.0,4.0,303.0,1
 2,1100.0,7.0,307.0,1
 2,1100.0,10.0,318.0,1
 2,1100.0,13.0,314.0,1
 2,1100.0,16.0,313.0,1
 2,1100.0,19.0,311.0,1
 2,1100.0,22.0,292.0,1
 2,1100.0,25.0,285.0,1
 2,1100.0,28.0,287.0,1
 2,1100.0,31.0,307.0,1
 2,1100.0,34.0,313.0,1
 2,1100.0,37.0,313.0,1
 2,1100.0,40.0,309.0,1
 2,1100.0,43.0,325.0,1
 2,1100.0,46.0,336.0,1
 2,1100.0,49.0,290.0,1
 2,1100.0,52.0,302.0,1
 2,1400.0,4.0,307.0,1
 2,1400.0,7.0,318.0,1
 2,1400.0,10.0,314.0,1
 2,1400.0,13.0,313.0,1
 2,1400.0,16.0,311.0,1
 2,1400.0,19.0,292.0,1
 2,1400.0,22.0,285.0,1
 2,1400.0,25.0,287.0,1
 2,1400.0,28.0,307.0,1
 2,1400.0,31.0,313.0,1
 2,1400.0,34.0,313.0,1
 2,1400.0,37.0,309.0,1
 2,1400.0,40.0,325.0,1
 2,1400.0,43.0,336.0,1
 2,1400.0,46.0,290.0,1
 2,1400.0,49.0,302.0,1
 2,1700.0,4.0,318.0,1
 2,1700.0,7.0,314.0,1
 2,1700.0,10.0,313.0,1
 2,1700.0,13.0,311.0,1
 2,1700.0,16.0,292.0,1
 2,1700.0,19.0,285.0,1
 2,1700.0,22.0,287.0,1
 2,1700.0,25.0,307.0,1
 2,1700.0,28.0,313.0,1
 2,1700.0,31.0,313.0,1
 2,1700.0,34.0,309.0,1
 2,1700.0,37.0,325.0,1
 2,1700.0,40.0,336.0,1
 2,1700.0,43.0,290.0,1
 2,1700.0,46.0,302.0,1
 2,2000.0,4.0,320.0,1
 2,2000.0,7.0,319.0,1
 2,2000.0,10.0,312.0,1
 2,2000.0,13.0,297.0,1
 2,2000.0,16.0,302.0,1
 2,2000.0,19.0,306.0,1
 2,2000.0,22.0,309.0,1
 2,2000.0,25.0,316.0,1
 2,2000.0,28.0,323.0,1
 2,2000.0,31.0,332.0,1
 2,2000.0,34.0,317.0,1
 2,2000.0,37.0,325.0,1
 2,2000.0,40.0,274.0,1
 2,2000.0,43.0,261.0,1
 2,2000.0,46.0,263.0,1
 2,2000.0,49.0,247.0,1
 2,2000.0,52.0,309.0,1
 2,2000.0,55.0,312.0,1
 2,2000.0,58.0,309.0,1
 2,2000.0,61.0,322.0,1
 2,2000.0,64.0,304.0,1
 2,2000.0,67.0,304.0,1
 2,2300.0,4.0,319.0,1
 2,2300.0,7.0,312.0,1
 2,2300.0,10.0,297.0,1
 2,2300.0,13.0,302.0,1
 2,2300.0,16.0,306.0,1
 2,2300.0,19.0,309.0,1
 2,2300.0,22.0,316.0,1
 2,2300.0,25.0,323.0,1
 2,2300.0,28.0,332.0,1
 2,2300.0,31.0,317.0,1
 2,2300.0,34.0,325.0,1
 2,2300.0,37.0,274.0,1
 2,2300.0,40.0,261.0,1
 2,2300.0,43.0,263.0,1
 2,2300.0,46.0,247.0,1
 2,2300.0,49.0,309.0,1
 2,2300.0,52.0,312.0,1
 2,2300.0,55.0,309.0,1
 2,2300.0,58.0,322.0,1
 2,2300.0,61.0,304.0,1
 2,2300.0,64.0,304.0,1
 3,200.0,4.0,312.0,1
 3,200.0,7.0,297.0,1
 3,200.0,10.0,302.0,1
 3,200.0,13.0,306.0,1
 3,200.0,16.0,309.0,1
 3,200.0,19.0,316.0,1
 3,200.0,22.0,323.0,1
 3,200.0,25.0,332.0,1
 3,200.0,28.0,317.0,1
 3,200.0,31.0,325.0,1
 3,200.0,34.0,274.0,1
 3,200.0,37.0,261.0,1
 3,200.0,40.0,263.0,1
 3,200.0,43.0,247.0,1
 3,200.0,46.0,309.0,1
 3,200.0,49.0,312.0,1
 3,200.0,52.0,309.0,1
 3,200.0,55.0,322.0,1
 3,200.0,58.0,304.0,1
 3,200.0,61.0,304.0,1
 3,500.0,4.0,297.0,1
 3,500.0,7.0,302.0,1
 3,500.0,10.0,306.0,1
 3,500.0,13.0,309.0,1
 3,500.0,16.0,316.0,1
 3,500.0,19.0,323.0,1
 3,500.0,22.0,332.0,1
 3,500.0,25.0,317.0,1
 3,500.0,28.0,325.0,1
 3,500.0,31.0,274.0,1
 3,500.0,34.0,261.0,1
 3,500.0,37.0,263.0,1
 3,500.0,40.0,247.0,1
 3,500.0,43.0,309.0,1
 3,500.0,46.0,312.0,1
 3,500.0,49.0,309.0,1
 3,500.0,52.0,322.0,1
 3,500.0,55.0,304.0,1
 3,500.0,58.0,304.0,1
 3,800.0,4.0,300.0,1
 3,800.0,7.0,311.0,1
 3,800.0,10.0,313.0,1
 3,800.0,13.0,312.0,1
 3,800.0,16.0,320.0,1
 3,800.0,19.0,331.0,1
 3,800.0,22.0,333.0,1
 3,800.0,25.0,320.0,1
 3,800.0,28.0,304.0,1
 3,800.0,31.0,273.0,1
 3,800.0,34.0,264.0,1
 3,800.0,37.0,272.0,1
 3,800.0,40.0,281.0,1
 3,800.0,43.0,310.0,1
 3,800.0,46.0,307.0,1
 3,800.0,49.0,316.0,1
 3,800.0,52.0,301.0,1
 3,800.0,55.0,308.0,1
 3,1100.0,4.0,311.0,1
 3,1100.0,7.0,313.0,1
 3,1100.0,10.0,312.0,1
 3,1100.0,13.0,320.0,1
 3,1100.0,16.0,331.0,1
 3,1100.0,19.0,333.0,1
 3,1100.0,22.0,320.0,1
 3,1100.0,25.0,304.0,1
 3,1100.0,28.0,273.0,1
 3,1100.0,31.0,264.0,1
 3,1100.0,34.0,272.0,1
 3,1100.0,37.0,281.0,1
 3,1100.0,40.0,310.0,1
 3,1100.0,43.0,307.0,1
 3,1100.0,46.0,316.0,1
 3,1100.0,49.0,301.0,1
 3,1100.0,52.0,308.0,1
 3,1400.0,4.0,313.0,1
 3,1400.0,7.0,312.0,1
 3,1400.0,10.0,320.0,1
 3,1400.0,13.0,331.0,1
 3,1400.0,16.0,333.0,1
 3,1400.0,19.0,320.0,1
 3,1400.0,22.0,304.0,1
 3,1400.0,25.0,273.0,1
 3,1400.0,28.0,264.0,1
 3,1400.0,31.0,272.0,1
 3,1400.0,34.0,281.0,1
 3,1400.0,37.0,310.0,1
 3,1400.0,40.0,307.0,1
 3,1400.0,43.0,316.0,1
 3,1400.0,46.0,301.0,1
 3,1400.0,49.0,308.0,1
 3,1700.0,4.0,312.0,1
 3,1700.0,7.0,320.0,1
 3,1700.0,10.0,331.0,1
 3,1700.0,13.0,333.0,1
 3,1700.0,16.0,320.0,1
 3,1700.0,19.0,304.0,1
 3,1700.0,22.0,273.0,1
 3,1700.0,25.0,264.0,1
 3,1700.0,28.0,272.0,1
 3,1700.0,31.0,281.0,1
 3,1700.0,34.0,310.0,1
 3,1700.0,37.0,307.0,1
 3,1700.0,40.0,316.0,1
 3,1700.0,43.0,301.0,1
 3,1700.0,46.0,308.0,1
 3,2000.0,4.0,319.0,1
 3,2000.0,7.0,326.0,1
 3,2000.0,10.0,339.0,1
 3,2000.0,13.0,315.0,1
 3,2000.0,16.0,288.0,1
 3,2000.0,19.0,283.0,1
 3,2000.0,22.0,268.0,1
 3,2000.0,25.0,270.0,1
 3,2000.0,28.0,291.0,1
 3,2000.0,31.0,310.0,1
 3,2000.0,34.0,306.0,1
 3,2000.0,37.0,315.0,1
 3,2000.0,40.0,299.0,1
 3,2000.0,43.0,306.0,1
 3,2000.0,46.0,307.0,1
 3,2000.0,49.0,311.0,1
 3,2000.0,52.0,309.0,1
 3,2000.0,55.0,308.0,1
 3,2000.0,58.0,301.0,1
 3,2000.0,61.0,299.0,1
 3,2000.0,64.0,279.0,1
 3,2000.0,67.0,251.0,1
 3,2300.0,4.0,326.0,1
 3,2300.0,7.0,339.0,1
 3,2300.0,10.0,315.0,1
 3,2300.0,13.0,288.0,1
 3,2300.0,16.0,283.0,1
 3,2300.0,19.0,268.0,1
 3,2300.0,22.0,270.0,1
 3,2300.0,25.0,291.0,1
 3,2300.0,28.0,310.0,1
 3,2300.0,31.0,306.0,1
 3,2300.0,34.0,315.0,1
 3,2300.0,37.0,299.0,1
 3,2300.0,40.0,306.0,1
 3,2300.0,43.0,307.0,1
 3,2300.0,46.0,311.0,1
 3,2300.0,49.0,309.0,1
 3,2300.0,52.0,308.0,1
 3,2300.0,55.0,301.0,1
 3,2300.0,58.0,299.0,1
 3,2300.0,61.0,279.0,1
 3,2300.0,64.0,251.0,1
 4,200.0,4.0,339.0,1
 4,200.0,7.0,315.0,1
 4,200.0,10.0,288.0,1
 4,200.0,13.0,283.0,1
